source_filepath,n_raw_rows,subject_id,session_name,band,error,study,score,n_raw_rows_filled
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Gcue2s 2024-09-23  9_38 PM_Stats.xlsx,225.0,XIN3G,retest_cue,50,,1b,0,225.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin3Rcue2 2024-09-23  8_24 PM_Stats.xlsx,10.0,XIN3R,retest_cue,50,,1b,0,10.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Bscue2 2024-09-23  8_38 PM_Stats.xlsx,11.0,XIN4B,retest_cue,50,,1b,0,11.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Gcue2 2024-09-23  8_44 PM_Stats.xlsx,114.0,XIN4G,retest_cue,50,,1b,0,114.0
研究1b/oringinaldata/50kHz USVs/cue test/后测/xin4Rcue2 2024-09-23  8_32 PM_Stats.xlsx,6.0,XIN4R,retest_cue,50,,1b,0,6.0
研究2/orginal data/22kHz USVs/1learn/EXT1B 2024-12-31 12_03 AM_Stats.xlsx,202.0,EXT1B,learning,22,,2,15,202.0
研究2/orginal data/22kHz USVs/1learn/EXT1G 2024-12-30  9_52 PM_Stats.xlsx,243.0,EXT1G,learning,22,,2,15,243.0
研究2/orginal data/22kHz USVs/1learn/EXT1R 2024-12-30  9_38 PM_Stats.xlsx,43.0,EXT1R,learning,22,,2,15,43.0
研究2/orginal data/22kHz USVs/1learn/EXT2B 2025-01-08  9_03 PM_Stats.xlsx,235.0,EXT2B,learning,22,,2,15,235.0
研究2/orginal data/22kHz USVs/1learn/EXT2G 2025-01-08 11_59 PM_Stats.xlsx,70.0,EXT2G,learning,22,,2,15,70.0
研究2/orginal data/22kHz USVs/1learn/EXT2R 2025-01-08  9_26 PM_Stats.xlsx,70.0,EXT2R,learning,22,,2,15,70.0
研究2/orginal data/22kHz USVs/1learn/EXT3B 2025-01-07  8_21 PM_Stats.xlsx,80.0,EXT3B,learning,22,,2,15,80.0
研究2/orginal data/22kHz USVs/1learn/EXT3G 2025-01-07  8_39 PM_Stats.xlsx,357.0,EXT3G,learning,22,,2,15,357.0
研究2/orginal data/22kHz USVs/1learn/EXT3R 2025-01-07  9_07 PM_Stats.xlsx,244.0,EXT3R,learning,22,,2,15,244.0
研究2/orginal data/22kHz USVs/1learn/NO EXT1B 2024-12-31 12_23 AM_Stats.xlsx,301.0,NOEXT1B,learning,22,,2,15,301.0
研究2/orginal data/22kHz USVs/1learn/NO EXT1G 2024-12-31 12_18 AM_Stats.xlsx,78.0,NOEXT1G,learning,22,,2,15,78.0
研究2/orginal data/22kHz USVs/1learn/NO EXT1R 2024-12-30 11_36 PM_Stats.xlsx,220.0,NOEXT1R,learning,22,,2,15,220.0
研究2/orginal data/22kHz USVs/1learn/NO EXT2B 2025-01-08 11_25 PM_Stats.xlsx,260.0,NOEXT2B,learning,22,,2,15,260.0
研究2/orginal data/22kHz USVs/1learn/NO EXT2G 2025-01-09 12_05 AM_Stats.xlsx,195.0,NOEXT2G,learning,22,,2,15,195.0
研究2/orginal data/22kHz USVs/1learn/NO EXT3G 2025-01-09 12_17 AM_Stats.xlsx,476.0,NOEXT3G,learning,22,,2,15,476.0
研究2/orginal data/22kHz USVs/1learn/NO EXT3R 2025-01-07 11_28 PM_Stats.xlsx,302.0,NOEXT3R,learning,22,,2,15,302.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT1B 2024-12-31 12_03 AM_Stats.xlsx,200.0,EXT1B,learning,22,,2,35,200.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT1G 2024-12-30  9_52 PM_Stats.xlsx,242.0,EXT1G,learning,22,,2,35,242.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT1R 2024-12-30  9_38 PM_Stats.xlsx,42.0,EXT1R,learning,22,,2,35,42.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT2B 2025-01-08  9_03 PM_Stats.xlsx,233.0,EXT2B,learning,22,,2,35,233.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT2G 2025-01-08 11_59 PM_Stats.xlsx,70.0,EXT2G,learning,22,,2,35,70.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT2R 2025-01-08  9_26 PM_Stats.xlsx,70.0,EXT2R,learning,22,,2,35,70.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT3B 2025-01-07  8_21 PM_Stats.xlsx,80.0,EXT3B,learning,22,,2,35,80.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT3G 2025-01-07  8_39 PM_Stats.xlsx,356.0,EXT3G,learning,22,,2,35,356.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT3R 2025-01-07  9_07 PM_Stats.xlsx,241.0,EXT3R,learning,22,,2,35,241.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT1B 2024-12-31 12_23 AM_Stats.xlsx,300.0,NOEXT1B,learning,22,,2,35,300.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT1G 2024-12-31 12_18 AM_Stats.xlsx,77.0,NOEXT1G,learning,22,,2,35,77.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT1R 2024-12-30 11_36 PM_Stats.xlsx,219.0,NOEXT1R,learning,22,,2,35,219.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT2B 2025-01-08 11_25 PM_Stats.xlsx,257.0,NOEXT2B,learning,22,,2,35,257.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT2G 2025-01-09 12_05 AM_Stats.xlsx,193.0,NOEXT2G,learning,22,,2,35,193.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT3G 2025-01-09 12_17 AM_Stats.xlsx,475.0,NOEXT3G,learning,22,,2,35,475.0
研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT3R 2025-01-07 11_28 PM_Stats.xlsx,301.0,NOEXT3R,learning,22,,2,35,301.0
研究2/orginal data/22kHz USVs/2retrieve/EXT1B-ret 2025-01-01  5_41 PM_Stats.xlsx,61.0,EXT1B,retrieval,22,,2,15,61.0
研究2/orginal data/22kHz USVs/2retrieve/EXT1G-ret 2024-12-31  5_47 PM_Stats.xlsx,54.0,EXT1G,retrieval,22,,2,15,54.0
研究2/orginal data/22kHz USVs/2retrieve/EXT1R-ret 2025-01-01  5_38 PM_Stats.xlsx,1.0,EXT1R,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/EXT2B-ret 2025-01-19 11_21 AM_Stats.xlsx,1.0,EXT2B,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/EXT2G-ret 2025-01-19 11_40 AM_Stats.xlsx,1.0,EXT2G,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/EXT2R-ret 2025-01-19  8_51 PM_Stats.xlsx,1.0,EXT2R,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/EXT3B-ret 2025-01-19  9_05 PM_Stats.xlsx,1.0,EXT3B,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/EXT3G-ret 2025-01-19 10_53 PM_Stats.xlsx,71.0,EXT3G,retrieval,22,,2,15,71.0
研究2/orginal data/22kHz USVs/2retrieve/EXT3R-ret 2025-01-20 11_28 AM_Stats.xlsx,1.0,EXT3R,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/NO EXT1B-retc 2025-02-08  2_42 PM_Stats.xlsx,97.0,NOEXT1B,retrieval,22,,2,15,97.0
研究2/orginal data/22kHz USVs/2retrieve/NO EXT2B-ret 2025-01-20 11_37 AM_Stats.xlsx,1.0,NOEXT2B,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/NO EXT2G-ret 2025-01-20 11_49 AM_Stats.xlsx,1.0,NOEXT2G,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/NO EXT3B-ret 2025-01-20 11_58 AM_Stats.xlsx,1.0,NOEXT3B,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/NO EXT3G-ret 2025-01-20 12_05 PM_Stats.xlsx,1.0,NOEXT3G,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/NO EXT3R-ret 2025-01-20 12_12 PM_Stats.xlsx,1.0,NOEXT3R,retrieval,22,,2,15,1.0
研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/EXT1B-ret 2025-01-01  5_41 PM_Stats.xlsx,62.0,EXT1B,retrieval,22,,2,35,62.0
研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/EXT1G-ret 2024-12-31  5_47 PM_Stats.xlsx,55.0,EXT1G,retrieval,22,,2,35,55.0
研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/EXT3G-ret 2025-01-19 10_53 PM_Stats.xlsx,72.0,EXT3G,retrieval,22,,2,35,72.0
研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/NO EXT1B-retc 2025-02-08  2_42 PM_Stats.xlsx,98.0,NOEXT1B,retrieval,22,,2,35,98.0
研究2/orginal data/22kHz USVs/3extinction1/EXT1B-ext 2025-01-01  8_45 PM_Stats.xlsx,208.0,EXT1B,extinction1,22,,2,15,208.0
研究2/orginal data/22kHz USVs/3extinction1/EXT1G-ext 2024-12-31  7_00 PM_Stats.xlsx,255.0,EXT1G,extinction1,22,,2,15,255.0
研究2/orginal data/22kHz USVs/3extinction1/EXT2B-ext 2025-01-19 11_05 AM_Stats.xlsx,23.0,EXT2B,extinction1,22,,2,15,23.0
研究2/orginal data/22kHz USVs/3extinction1/EXT2G-ext 2025-01-19 11_26 AM_Stats.xlsx,23.0,EXT2G,extinction1,22,,2,15,23.0
研究2/orginal data/22kHz USVs/3extinction1/EXT2R-ext 2025-01-19 11_44 AM_Stats.xlsx,329.0,EXT2R,extinction1,22,,2,15,329.0
研究2/orginal data/22kHz USVs/3extinction1/EXT3B-ext 2025-01-19  8_56 PM_Stats.xlsx,18.0,EXT3B,extinction1,22,,2,15,18.0
研究2/orginal data/22kHz USVs/3extinction1/EXT3G-ext 2025-01-19  9_09 PM_Stats.xlsx,528.0,EXT3G,extinction1,22,,2,15,528.0
研究2/orginal data/22kHz USVs/3extinction1/EXT3R-ext 2025-01-20 10_51 AM_Stats.xlsx,393.0,EXT3R,extinction1,22,,2,15,393.0
研究2/orginal data/22kHz USVs/3extinction1/NO EXT2B-ext 2025-01-20 11_32 AM_Stats.xlsx,18.0,NOEXT2B,extinction1,22,,2,15,18.0
研究2/orginal data/22kHz USVs/3extinction1/NO EXT2G-ext 2025-01-20 11_42 AM_Stats.xlsx,1.0,NOEXT2G,extinction1,22,,2,15,1.0
研究2/orginal data/22kHz USVs/3extinction1/NO EXT3B-ext 2025-01-20 11_55 AM_Stats.xlsx,1.0,NOEXT3B,extinction1,22,,2,15,1.0
研究2/orginal data/22kHz USVs/3extinction1/NO EXT3G-ext 2025-01-20 12_02 PM_Stats.xlsx,1.0,NOEXT3G,extinction1,22,,2,15,1.0
研究2/orginal data/22kHz USVs/3extinction1/NO EXT3R-ext 2025-01-20 12_09 PM_Stats.xlsx,1.0,NOEXT3R,extinction1,22,,2,15,1.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT1B-ext 2025-01-01  8_45 PM_Stats.xlsx,202.0,EXT1B,extinction1,22,,2,35,202.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT1G-ext 2024-12-31  7_00 PM_Stats.xlsx,250.0,EXT1G,extinction1,22,,2,35,250.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT2B-ext 2025-01-19 11_05 AM_Stats.xlsx,14.0,EXT2B,extinction1,22,,2,35,14.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT2G-ext 2025-01-19 11_26 AM_Stats.xlsx,24.0,EXT2G,extinction1,22,,2,35,24.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT2R-ext 2025-01-19 11_44 AM_Stats.xlsx,321.0,EXT2R,extinction1,22,,2,35,321.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT3G-ext 2025-01-19  9_09 PM_Stats.xlsx,524.0,EXT3G,extinction1,22,,2,35,524.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT3R-ext 2025-01-20 10_51 AM_Stats.xlsx,384.0,EXT3R,extinction1,22,,2,35,384.0
研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/NO EXT2B-ext 2025-01-20 11_32 AM_Stats.xlsx,19.0,NOEXT2B,extinction1,22,,2,35,19.0
研究2/orginal data/22kHz USVs/4LTM/EXT1B 2025-01-01  5_10 PM_Stats.xlsx,166.0,EXT1B,LTM1,22,,2,15,166.0
研究2/orginal data/22kHz USVs/4LTM/EXT1G 2025-01-01  4_52 PM_Stats.xlsx,75.0,EXT1G,LTM1,22,,2,15,75.0
研究2/orginal data/22kHz USVs/4LTM/EXT2B 2025-01-08  9_13 PM_Stats.xlsx,45.0,EXT2B,LTM1,22,,2,15,45.0
研究2/orginal data/22kHz USVs/4LTM/EXT2G 2025-01-09  3_24 PM_Stats.xlsx,32.0,EXT2G,LTM1,22,,2,15,32.0
研究2/orginal data/22kHz USVs/4LTM/EXT2R 2025-01-08 11_37 PM_Stats.xlsx,46.0,EXT2R,LTM1,22,,2,15,46.0
研究2/orginal data/22kHz USVs/4LTM/EXT3B 2025-01-08  9_00 PM_Stats.xlsx,11.0,EXT3B,LTM1,22,,2,15,11.0
研究2/orginal data/22kHz USVs/4LTM/EXT3G 2025-01-09  3_51 PM_Stats.xlsx,341.0,EXT3G,LTM1,22,,2,15,341.0
研究2/orginal data/22kHz USVs/4LTM/EXT3R 2025-01-08  9_06 PM_Stats.xlsx,161.0,EXT3R,LTM1,22,,2,15,161.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT1B 2025-01-01  5_16 PM_Stats.xlsx,178.0,NOEXT1B,LTM1,22,,2,15,178.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT1R 2025-01-01  4_50 PM_Stats.xlsx,13.0,NOEXT1R,LTM1,22,,2,15,13.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT2B 2025-01-09  9_20 AM_Stats.xlsx,245.0,NOEXT2B,LTM1,22,,2,15,245.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT2G 2025-01-08  9_41 PM_Stats.xlsx,128.0,NOEXT2G,LTM1,22,,2,15,128.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT3B 2025-01-09  9_36 AM_Stats.xlsx,42.0,NOEXT3B,LTM1,22,,2,15,42.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT3G 2025-01-08  9_50 PM_Stats.xlsx,121.0,NOEXT3G,LTM1,22,,2,15,121.0
研究2/orginal data/22kHz USVs/4LTM/NO EXT3R 2025-01-09  9_41 AM_Stats.xlsx,91.0,NOEXT3R,LTM1,22,,2,15,91.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT1B 2025-01-01  5_10 PM_Stats.xlsx,166.0,EXT1B,LTM1,22,,2,35,166.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT1G 2025-01-01  4_52 PM_Stats.xlsx,75.0,EXT1G,LTM1,22,,2,35,75.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT2B 2025-01-08  9_13 PM_Stats.xlsx,44.0,EXT2B,LTM1,22,,2,35,44.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT2G 2025-01-09  3_24 PM_Stats.xlsx,30.0,EXT2G,LTM1,22,,2,35,30.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT2R 2025-01-08 11_37 PM_Stats.xlsx,45.0,EXT2R,LTM1,22,,2,35,45.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT3B 2025-01-08  9_00 PM_Stats.xlsx,10.0,EXT3B,LTM1,22,,2,35,10.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT3G 2025-01-09  3_51 PM_Stats.xlsx,339.0,EXT3G,LTM1,22,,2,35,339.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT3R 2025-01-08  9_06 PM_Stats.xlsx,159.0,EXT3R,LTM1,22,,2,35,159.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT1B 2025-01-01  5_16 PM_Stats.xlsx,178.0,NOEXT1B,LTM1,22,,2,35,178.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT1R 2025-01-01  4_50 PM_Stats.xlsx,14.0,NOEXT1R,LTM1,22,,2,35,14.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT2B 2025-01-09  9_20 AM_Stats.xlsx,243.0,NOEXT2B,LTM1,22,,2,35,243.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT2G 2025-01-08  9_41 PM_Stats.xlsx,126.0,NOEXT2G,LTM1,22,,2,35,126.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT3B 2025-01-09  9_36 AM_Stats.xlsx,42.0,NOEXT3B,LTM1,22,,2,35,42.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT3G 2025-01-08  9_50 PM_Stats.xlsx,119.0,NOEXT3G,LTM1,22,,2,35,119.0
研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT3R 2025-01-09  9_41 AM_Stats.xlsx,89.0,NOEXT3R,LTM1,22,,2,35,89.0
研究2/orginal data/22kHz USVs/5renewal/EXT1Brenewal 2025-01-02  4_47 PM_Stats.xlsx,163.0,EXT1B,renewal,22,,2,15,163.0
研究2/orginal data/22kHz USVs/5renewal/EXT1G renewal 2025-01-02  4_06 PM_Stats.xlsx,50.0,EXT1G,renewal,22,,2,15,50.0
研究2/orginal data/22kHz USVs/5renewal/EXT2B 2025-01-09  4_53 PM_Stats.xlsx,66.0,EXT2B,renewal,22,,2,15,66.0
研究2/orginal data/22kHz USVs/5renewal/EXT2G 2025-01-09  5_05 PM_Stats.xlsx,23.0,EXT2G,renewal,22,,2,15,23.0
研究2/orginal data/22kHz USVs/5renewal/EXT2R 2025-01-09  4_50 PM_Stats.xlsx,4.0,EXT2R,renewal,22,,2,15,4.0
研究2/orginal data/22kHz USVs/5renewal/EXT3B 2025-01-09  5_08 PM_Stats.xlsx,8.0,EXT3B,renewal,22,,2,15,8.0
研究2/orginal data/22kHz USVs/5renewal/EXT3G 2025-01-09  4_59 PM_Stats.xlsx,246.0,EXT3G,renewal,22,,2,15,246.0
研究2/orginal data/22kHz USVs/5renewal/EXT3R 2025-01-09  5_11 PM_Stats.xlsx,257.0,EXT3R,renewal,22,,2,15,257.0
研究2/orginal data/22kHz USVs/5renewal/NO EXT1Brenewal 2025-01-02  5_05 PM_Stats.xlsx,195.0,NOEXT1B,renewal,22,,2,15,195.0
研究2/orginal data/22kHz USVs/5renewal/NO EXT2B 2025-01-09  5_22 PM_Stats.xlsx,134.0,NOEXT2B,renewal,22,,2,15,134.0
研究2/orginal data/22kHz USVs/5renewal/NO EXT2G 2025-01-09  5_26 PM_Stats.xlsx,102.0,NOEXT2G,renewal,22,,2,15,102.0
研究2/orginal data/22kHz USVs/5renewal/NO EXT3B 2025-01-09  5_36 PM_Stats.xlsx,4.0,NOEXT3B,renewal,22,,2,15,4.0
研究2/orginal data/22kHz USVs/5renewal/NO EXT3G 2025-01-09  5_33 PM_Stats.xlsx,7.0,NOEXT3G,renewal,22,,2,15,7.0
研究2/orginal data/22kHz USVs/5renewal/NO EXT3R 2025-01-09  5_39 PM_Stats.xlsx,4.0,NOEXT3R,renewal,22,,2,15,4.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT1Brenewal 2025-01-02  4_47 PM_Stats.xlsx,163.0,EXT1B,renewal,22,,2,35,163.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT1G renewal 2025-01-02  4_06 PM_Stats.xlsx,50.0,EXT1G,renewal,22,,2,35,50.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT2B 2025-01-09  4_53 PM_Stats.xlsx,64.0,EXT2B,renewal,22,,2,35,64.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT2G 2025-01-09  5_05 PM_Stats.xlsx,21.0,EXT2G,renewal,22,,2,35,21.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT3B 2025-01-09  5_08 PM_Stats.xlsx,7.0,EXT3B,renewal,22,,2,35,7.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT3G 2025-01-09  4_59 PM_Stats.xlsx,244.0,EXT3G,renewal,22,,2,35,244.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT3R 2025-01-09  5_11 PM_Stats.xlsx,255.0,EXT3R,renewal,22,,2,35,255.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT1Brenewal 2025-01-02  5_05 PM_Stats.xlsx,195.0,NOEXT1B,renewal,22,,2,35,195.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT2B 2025-01-09  5_22 PM_Stats.xlsx,132.0,NOEXT2B,renewal,22,,2,35,132.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT2G 2025-01-09  5_26 PM_Stats.xlsx,100.0,NOEXT2G,renewal,22,,2,35,100.0
研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT3G 2025-01-09  5_33 PM_Stats.xlsx,6.0,NOEXT3G,renewal,22,,2,35,6.0
研究2/orginal data/22kHz USVs/6extinction2/EXT1B 2025-02-08  3_36 PM_Stats.xlsx,43.0,EXT1B,extinction2,22,,2,15,43.0
研究2/orginal data/22kHz USVs/6extinction2/EXT2B 2025-01-21  6_52 PM_Stats.xlsx,43.0,EXT2B,extinction2,22,,2,15,43.0
研究2/orginal data/22kHz USVs/6extinction2/EXT2G 2025-01-21  6_48 PM_Stats.xlsx,10.0,EXT2G,extinction2,22,,2,15,10.0
研究2/orginal data/22kHz USVs/6extinction2/EXT2R 2025-01-21  6_42 PM_Stats.xlsx,10.0,EXT2R,extinction2,22,,2,15,10.0
研究2/orginal data/22kHz USVs/6extinction2/EXT3G 2025-01-21  7_07 PM_Stats.xlsx,102.0,EXT3G,extinction2,22,,2,15,102.0
研究2/orginal data/22kHz USVs/6extinction2/EXT3R 2025-01-21  7_01 PM_Stats.xlsx,43.0,EXT3R,extinction2,22,,2,15,43.0
研究2/orginal data/22kHz USVs/6extinction2/EXT3R 2025-01-21  7_19 PM_Stats.xlsx,42.0,EXT3R,extinction2,22,,2,15,42.0
研究2/orginal data/22kHz USVs/6extinction2/NO EXT2Bs 2025-01-21  7_38 PM_Stats.xlsx,1.0,NOEXT2B,extinction2,22,,2,15,1.0
研究2/orginal data/22kHz USVs/6extinction2/NO EXT2Gs 2025-01-21  7_35 PM_Stats.xlsx,2.0,NOEXT2G,extinction2,22,,2,15,2.0
研究2/orginal data/22kHz USVs/6extinction2/NO EXT3B 2025-01-21  7_47 PM_Stats.xlsx,0.0,NOEXT3B,extinction2,22,,2,15,0.0
研究2/orginal data/22kHz USVs/6extinction2/NO EXT3G 2025-01-21  7_51 PM_Stats.xlsx,0.0,NOEXT3G,extinction2,22,,2,15,0.0
研究2/orginal data/22kHz USVs/6extinction2/NO EXT3R 2025-01-21  7_42 PM_Stats.xlsx,1.0,NOEXT3R,extinction2,22,,2,15,1.0
研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT1B 2025-02-08  3_36 PM_Stats.xlsx,35.0,EXT1B,extinction2,22,,2,35,35.0
研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT2B 2025-01-21  6_52 PM_Stats.xlsx,44.0,EXT2B,extinction2,22,,2,35,44.0
研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT3G 2025-01-21  7_07 PM_Stats.xlsx,103.0,EXT3G,extinction2,22,,2,35,103.0
研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT3R 2025-01-21  7_19 PM_Stats.xlsx,40.0,EXT3R,extinction2,22,,2,35,40.0
研究2/orginal data/22kHz USVs/6extinction2/0223处理/NO EXT2Gs 2025-01-21  7_35 PM_Stats.xlsx,2.0,NOEXT2G,extinction2,22,,2,35,2.0
研究2/orginal data/22kHz USVs/7extinction3/EXT1B 2025-02-08  4_05 PM_Stats.xlsx,42.0,EXT1B,extinction3,22,,2,15,42.0
研究2/orginal data/22kHz USVs/7extinction3/EXT1G 2025-02-08  3_57 PM_Stats.xlsx,14.0,EXT1G,extinction3,22,,2,15,14.0
研究2/orginal data/22kHz USVs/7extinction3/EXT2B 2025-01-23 10_24 PM_Stats.xlsx,10.0,EXT2B,extinction3,22,,2,15,10.0
研究2/orginal data/22kHz USVs/7extinction3/EXT2G 2025-01-23 10_09 PM_Stats.xlsx,10.0,EXT2G,extinction3,22,,2,15,10.0
研究2/orginal data/22kHz USVs/7extinction3/EXT2R 2025-01-23 10_01 PM_Stats.xlsx,23.0,EXT2R,extinction3,22,,2,15,23.0
研究2/orginal data/22kHz USVs/7extinction3/EXT3B 2025-01-23 11_37 PM_Stats.xlsx,17.0,EXT3B,extinction3,22,,2,15,17.0
研究2/orginal data/22kHz USVs/7extinction3/EXT3G 2025-01-23 10_58 PM_Stats.xlsx,24.0,EXT3G,extinction3,22,,2,15,24.0
研究2/orginal data/22kHz USVs/7extinction3/EXT3R 2025-01-23 10_32 PM_Stats.xlsx,113.0,EXT3R,extinction3,22,,2,15,113.0
研究2/orginal data/22kHz USVs/7extinction3/NO EXT1B 2025-02-08  4_16 PM_Stats.xlsx,25.0,NOEXT1B,extinction3,22,,2,15,25.0
研究2/orginal data/22kHz USVs/7extinction3/NO EXT2B 2025-01-24 12_12 AM_Stats.xlsx,1.0,NOEXT2B,extinction3,22,,2,15,1.0
研究2/orginal data/22kHz USVs/7extinction3/NO EXT2G 2025-01-23 11_49 PM_Stats.xlsx,1.0,NOEXT2G,extinction3,22,,2,15,1.0
研究2/orginal data/22kHz USVs/7extinction3/NO EXT3B 2025-01-24 12_27 AM_Stats.xlsx,1.0,NOEXT3B,extinction3,22,,2,15,1.0
