source_filepath,n_raw_rows,subject_id,session_name,band,error,study,score,n_raw_rows_filled
研究2/orginal data/22kHz USVs/7extinction3/NO EXT3G 2025-01-24 12_24 AM_Stats.xlsx,1.0,NOEXT3G,extinction3,22,,2,15,1.0
研究2/orginal data/22kHz USVs/7extinction3/NO EXT3R 2025-01-24 12_18 AM_Stats.xlsx,1.0,NOEXT3R,extinction3,22,,2,15,1.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT1B 2025-02-08  4_05 PM_Stats.xlsx,43.0,EXT1B,extinction3,22,,2,35,43.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT1G 2025-02-08  3_57 PM_Stats.xlsx,16.0,EXT1G,extinction3,22,,2,35,16.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT2R 2025-01-23 10_01 PM_Stats.xlsx,25.0,EXT2R,extinction3,22,,2,35,25.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT3B 2025-01-23 11_37 PM_Stats.xlsx,18.0,EXT3B,extinction3,22,,2,35,18.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT3G 2025-01-23 10_58 PM_Stats.xlsx,27.0,EXT3G,extinction3,22,,2,35,27.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT3R 2025-01-23 10_32 PM_Stats.xlsx,113.0,EXT3R,extinction3,22,,2,35,113.0
研究2/orginal data/22kHz USVs/7extinction3/0223处理/NO EXT1B 2025-02-08  4_16 PM_Stats.xlsx,26.0,NOEXT1B,extinction3,22,,2,35,26.0
研究2/orginal data/22kHz USVs/8extinction4/EXT2B 2025-01-24 12_31 AM_Stats.xlsx,11.0,EXT2B,extinction4,22,,2,15,11.0
研究2/orginal data/22kHz USVs/8extinction4/EXT2G 2025-01-24 12_33 AM_Stats.xlsx,5.0,EXT2G,extinction4,22,,2,15,5.0
研究2/orginal data/22kHz USVs/8extinction4/EXT2R 2025-01-24 12_34 AM_Stats.xlsx,1.0,EXT2R,extinction4,22,,2,15,1.0
研究2/orginal data/22kHz USVs/8extinction4/EXT3B 2025-01-24 12_36 AM_Stats.xlsx,4.0,EXT3B,extinction4,22,,2,15,4.0
研究2/orginal data/22kHz USVs/8extinction4/EXT3G 2025-01-24 12_38 AM_Stats.xlsx,7.0,EXT3G,extinction4,22,,2,15,7.0
研究2/orginal data/22kHz USVs/8extinction4/EXT3R 2025-01-24 12_39 AM_Stats.xlsx,9.0,EXT3R,extinction4,22,,2,15,9.0
研究2/orginal data/22kHz USVs/8extinction4/NO EXT2B 2025-01-24 12_40 AM_Stats.xlsx,6.0,NOEXT2B,extinction4,22,,2,15,6.0
研究2/orginal data/22kHz USVs/8extinction4/NO EXT2G 2025-01-24 12_42 AM_Stats.xlsx,3.0,NOEXT2G,extinction4,22,,2,15,3.0
研究2/orginal data/22kHz USVs/8extinction4/NO EXT3B 2025-01-24 12_43 AM_Stats.xlsx,12.0,NOEXT3B,extinction4,22,,2,15,12.0
研究2/orginal data/22kHz USVs/8extinction4/NO EXT3G 2025-01-24 12_45 AM_Stats.xlsx,11.0,NOEXT3G,extinction4,22,,2,15,11.0
研究2/orginal data/22kHz USVs/8extinction4/NO EXT3R 2025-01-24 12_46 AM_Stats.xlsx,7.0,NOEXT3R,extinction4,22,,2,15,7.0
研究2/orginal data/22kHz USVs/9LTM2/EXT1B 2025-02-08  4_35 PM_Stats.xlsx,9.0,EXT1B,LTM2,22,,2,15,9.0
研究2/orginal data/22kHz USVs/9LTM2/EXT1G 2025-02-08  4_40 PM_Stats.xlsx,4.0,EXT1G,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT1R 2025-02-08  4_44 PM_Stats.xlsx,4.0,EXT1R,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT2B 2025-01-20 10_51 PM_Stats.xlsx,4.0,EXT2B,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT2G 2025-01-20 10_54 PM_Stats.xlsx,4.0,EXT2G,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT2R 2025-01-20 10_58 PM_Stats.xlsx,4.0,EXT2R,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT3B 2025-01-20 11_01 PM_Stats.xlsx,4.0,EXT3B,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT3G 2025-01-20 11_04 PM_Stats.xlsx,4.0,EXT3G,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/EXT3R 2025-01-20 11_08 PM_Stats.xlsx,37.0,EXT3R,LTM2,22,,2,15,37.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT1B 2025-02-08  4_47 PM_Stats.xlsx,357.0,NOEXT1B,LTM2,22,,2,15,357.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT1G 2025-02-08  4_49 PM_Stats.xlsx,4.0,NOEXT1G,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT1R 2025-02-08  4_44 PM_Stats.xlsx,26.0,NOEXT1R,LTM2,22,,2,15,26.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT2B 2025-01-20 11_14 PM_Stats.xlsx,219.0,NOEXT2B,LTM2,22,,2,15,219.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT2G 2025-01-20 11_35 PM_Stats.xlsx,97.0,NOEXT2G,LTM2,22,,2,15,97.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT3B 2025-01-20 11_46 PM_Stats.xlsx,4.0,NOEXT3B,LTM2,22,,2,15,4.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT3G 2025-01-20 11_51 PM_Stats.xlsx,117.0,NOEXT3G,LTM2,22,,2,15,117.0
研究2/orginal data/22kHz USVs/9LTM2/NO EXT3R 2025-01-21 12_03 AM_Stats.xlsx,54.0,NOEXT3R,LTM2,22,,2,15,54.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/EXT1B 2025-02-08  4_35 PM_Stats.xlsx,9.0,EXT1B,LTM2,22,,2,15,9.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/EXT3R 2025-01-20 11_08 PM_Stats.xlsx,35.0,EXT3R,LTM2,22,,2,15,35.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/NO EXT1B 2025-02-08  4_47 PM_Stats.xlsx,355.0,NOEXT1B,LTM2,22,,2,15,355.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/NO EXT1R 2025-02-08  4_44 PM_Stats.xlsx,25.0,NOEXT1R,LTM2,22,,2,15,25.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/NO EXT2B 2025-01-20 11_14 PM_Stats.xlsx,217.0,NOEXT2B,LTM2,22,,2,15,217.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/NO EXT2G 2025-01-20 11_35 PM_Stats.xlsx,95.0,NOEXT2G,LTM2,22,,2,15,95.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/NO EXT3G 2025-01-20 11_51 PM_Stats.xlsx,115.0,NOEXT3G,LTM2,22,,2,15,115.0
研究2/orginal data/22kHz USVs/9LTM2/0223_LTM2/NO EXT3R 2025-01-21 12_03 AM_Stats.xlsx,52.0,NOEXT3R,LTM2,22,,2,15,52.0
研究2/orginal data/50kHz USVs/1learn/EXT1B 2025-02-16 10_17 PM_Stats.xlsx,566.0,EXT1B,learning,50,,2,15,566.0
研究2/orginal data/50kHz USVs/1learn/EXT1G 2025-02-16 10_05 PM_Stats.xlsx,514.0,EXT1G,learning,50,,2,15,514.0
研究2/orginal data/50kHz USVs/1learn/EXT1R 2025-02-16  9_58 PM_Stats.xlsx,66.0,EXT1R,learning,50,,2,15,66.0
研究2/orginal data/50kHz USVs/1learn/EXT2B 2025-02-05 11_32 PM_Stats.xlsx,652.0,EXT2B,learning,50,,2,15,652.0
研究2/orginal data/50kHz USVs/1learn/EXT2G 2025-02-05 11_34 PM_Stats.xlsx,162.0,EXT2G,learning,50,,2,15,162.0
研究2/orginal data/50kHz USVs/1learn/EXT2R 2025-02-05 11_37 PM_Stats.xlsx,410.0,EXT2R,learning,50,,2,15,410.0
研究2/orginal data/50kHz USVs/1learn/EXT3B 2025-02-05 11_39 PM_Stats.xlsx,219.0,EXT3B,learning,50,,2,15,219.0
研究2/orginal data/50kHz USVs/1learn/EXT3G 2025-02-05 11_41 PM_Stats.xlsx,325.0,EXT3G,learning,50,,2,15,325.0
研究2/orginal data/50kHz USVs/1learn/EXT3R 2025-02-05 11_43 PM_Stats.xlsx,780.0,EXT3R,learning,50,,2,15,780.0
研究2/orginal data/50kHz USVs/1learn/NO EXT1B 2025-02-16 10_42 PM_Stats.xlsx,1280.0,NOEXT1B,learning,50,,2,15,1280.0
研究2/orginal data/50kHz USVs/1learn/NO EXT1G 2025-02-16 10_32 PM_Stats.xlsx,108.0,NOEXT1G,learning,50,,2,15,108.0
研究2/orginal data/50kHz USVs/1learn/NO EXT1R 2025-02-16 10_25 PM_Stats.xlsx,305.0,NOEXT1R,learning,50,,2,15,305.0
研究2/orginal data/50kHz USVs/1learn/NO EXT2B 2025-02-08  5_28 PM_Stats.xlsx,359.0,NOEXT2B,learning,50,,2,15,359.0
研究2/orginal data/50kHz USVs/1learn/NO EXT2G 2025-02-06 11_56 PM_Stats.xlsx,538.0,NOEXT2G,learning,50,,2,15,538.0
研究2/orginal data/50kHz USVs/1learn/NO EXT3B 2025-02-05 11_51 PM_Stats.xlsx,41.0,NOEXT3B,learning,50,,2,15,41.0
研究2/orginal data/50kHz USVs/1learn/NO EXT3G 2025-02-05 11_53 PM_Stats.xlsx,1043.0,NOEXT3G,learning,50,,2,15,1043.0
研究2/orginal data/50kHz USVs/1learn/NO EXT3R 2025-02-05 11_55 PM_Stats.xlsx,593.0,NOEXT3R,learning,50,,2,15,593.0
研究2/orginal data/50kHz USVs/2retrieve/EXT1B-ret 2025-02-16 10_54 PM_Stats.xlsx,104.0,EXT1B,retrieval,50,,2,15,104.0
研究2/orginal data/50kHz USVs/2retrieve/EXT1G-ret 2025-02-16 10_57 PM_Stats.xlsx,82.0,EXT1G,retrieval,50,,2,15,82.0
研究2/orginal data/50kHz USVs/2retrieve/EXT2B-ret 2025-02-09  6_06 PM_Stats.xlsx,3.0,EXT2B,retrieval,50,,2,15,3.0
研究2/orginal data/50kHz USVs/2retrieve/EXT2G-ret 2025-02-09  6_29 PM_Stats.xlsx,12.0,EXT2G,retrieval,50,,2,15,12.0
研究2/orginal data/50kHz USVs/2retrieve/EXT2R-ret 2025-02-09  6_57 PM_Stats.xlsx,2.0,EXT2R,retrieval,50,,2,15,2.0
研究2/orginal data/50kHz USVs/2retrieve/EXT3B-ret 2025-02-09  7_22 PM_Stats.xlsx,9.0,EXT3B,retrieval,50,,2,15,9.0
研究2/orginal data/50kHz USVs/2retrieve/NO EXT1G-retc 2025-02-16 11_13 PM_Stats.xlsx,5.0,NOEXT1G,retrieval,50,,2,15,5.0
研究2/orginal data/50kHz USVs/3extinction1/EXT2B-ext 2025-02-09  6_14 PM_Stats.xlsx,1.0,EXT2B,extinction1,50,,2,15,1.0
研究2/orginal data/50kHz USVs/3extinction1/EXT2G-ext 2025-02-09  6_38 PM_Stats.xlsx,44.0,EXT2G,extinction1,50,,2,15,44.0
研究2/orginal data/50kHz USVs/3extinction1/EXT2R-ext 2025-02-09  7_07 PM_Stats.xlsx,9.0,EXT2R,extinction1,50,,2,15,9.0
研究2/orginal data/50kHz USVs/3extinction1/EXT3B-ext 2025-02-09  8_09 PM_Stats.xlsx,43.0,EXT3B,extinction1,50,,2,15,43.0
研究2/orginal data/50kHz USVs/3extinction1/EXT3G-ext 2025-02-09 10_16 PM_Stats.xlsx,1.0,EXT3G,extinction1,50,,2,15,1.0
研究2/orginal data/50kHz USVs/3extinction1/NO EXT1B-extc 2025-02-16 11_46 PM_Stats.xlsx,48.0,NOEXT1B,extinction1,50,,2,15,48.0
研究2/orginal data/50kHz USVs/3extinction1/NO EXT1G-extc 2025-02-16 11_39 PM_Stats.xlsx,2.0,NOEXT1G,extinction1,50,,2,15,2.0
研究2/orginal data/50kHz USVs/3extinction1/NO EXT1R-extc 2025-02-16 11_26 PM_Stats.xlsx,4.0,NOEXT1R,extinction1,50,,2,15,4.0
研究2/orginal data/50kHz USVs/3extinction1/NO EXT3B-ext 2025-02-10 12_17 AM_Stats.xlsx,41.0,NOEXT3B,extinction1,50,,2,15,41.0
研究2/orginal data/50kHz USVs/3extinction1/NO EXT3R-ext 2025-02-09 11_57 PM_Stats.xlsx,5.0,NOEXT3R,extinction1,50,,2,15,5.0
研究2/orginal data/50kHz USVs/4LTM/EXT1G 2025-02-17  7_34 PM_Stats.xlsx,88.0,EXT1G,LTM1,50,,2,15,88.0
研究2/orginal data/50kHz USVs/4LTM/EXT2B 2025-02-06 11_21 PM_Stats.xlsx,126.0,EXT2B,LTM1,50,,2,15,126.0
研究2/orginal data/50kHz USVs/4LTM/EXT2G 2025-02-06  6_00 PM_Stats.xlsx,58.0,EXT2G,LTM1,50,,2,15,58.0
研究2/orginal data/50kHz USVs/4LTM/EXT2R 2025-02-06  6_08 PM_Stats.xlsx,11.0,EXT2R,LTM1,50,,2,15,11.0
研究2/orginal data/50kHz USVs/4LTM/EXT3B 2025-02-06  6_16 PM_Stats.xlsx,13.0,EXT3B,LTM1,50,,2,15,13.0
研究2/orginal data/50kHz USVs/4LTM/EXT3G 2025-02-06  6_21 PM_Stats.xlsx,304.0,EXT3G,LTM1,50,,2,15,304.0
研究2/orginal data/50kHz USVs/4LTM/EXT3R 2025-02-06  6_25 PM_Stats.xlsx,158.0,EXT3R,LTM1,50,,2,15,158.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT1B 2025-02-17  7_41 PM_Stats.xlsx,1044.0,NOEXT1B,LTM1,50,,2,15,1044.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT1G 2025-02-17  7_39 PM_Stats.xlsx,1.0,NOEXT1G,LTM1,50,,2,15,1.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT2B 2025-02-10  7_32 PM_Stats.xlsx,409.0,NOEXT2B,LTM1,50,,2,15,409.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT2G 2025-02-10  7_20 PM_Stats.xlsx,102.0,NOEXT2G,LTM1,50,,2,15,102.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT3B 2025-02-10  8_31 PM_Stats.xlsx,44.0,NOEXT3B,LTM1,50,,2,15,44.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT3G 2025-02-10  8_14 PM_Stats.xlsx,71.0,NOEXT3G,LTM1,50,,2,15,71.0
研究2/orginal data/50kHz USVs/4LTM/NO EXT3R 2025-02-10  8_07 PM_Stats.xlsx,140.0,NOEXT3R,LTM1,50,,2,15,140.0
研究2/orginal data/50kHz USVs/5renewal/EXT1Brenewal 2025-02-17  7_54 PM_Stats.xlsx,2.0,EXT1B,renewal,50,,2,15,2.0
研究2/orginal data/50kHz USVs/5renewal/EXT1G renewal 2025-02-17  7_51 PM_Stats.xlsx,110.0,EXT1G,renewal,50,,2,15,110.0
研究2/orginal data/50kHz USVs/5renewal/EXT1Rrenewal 2025-02-17  7_48 PM_Stats.xlsx,35.0,EXT1R,renewal,50,,2,15,35.0
研究2/orginal data/50kHz USVs/5renewal/EXT2B 2025-02-10  9_00 PM_Stats.xlsx,50.0,EXT2B,renewal,50,,2,15,50.0
研究2/orginal data/50kHz USVs/5renewal/EXT2G 2025-02-10  8_51 PM_Stats.xlsx,46.0,EXT2G,renewal,50,,2,15,46.0
研究2/orginal data/50kHz USVs/5renewal/EXT2R 2025-02-10  8_40 PM_Stats.xlsx,78.0,EXT2R,renewal,50,,2,15,78.0
研究2/orginal data/50kHz USVs/5renewal/EXT3B 2025-02-10  9_43 PM_Stats.xlsx,84.0,EXT3B,renewal,50,,2,15,84.0
研究2/orginal data/50kHz USVs/5renewal/EXT3G 2025-02-10  9_32 PM_Stats.xlsx,229.0,EXT3G,renewal,50,,2,15,229.0
研究2/orginal data/50kHz USVs/5renewal/EXT3R 2025-02-10  9_14 PM_Stats.xlsx,395.0,EXT3R,renewal,50,,2,15,395.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT1Brenewal 2025-02-17  8_03 PM_Stats.xlsx,527.0,NOEXT1B,renewal,50,,2,15,527.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT1Grenewal 2025-02-17  7_58 PM_Stats.xlsx,62.0,NOEXT1G,renewal,50,,2,15,62.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT2B 2025-02-10 10_00 PM_Stats.xlsx,253.0,NOEXT2B,renewal,50,,2,15,253.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT2G 2025-02-10  9_55 PM_Stats.xlsx,105.0,NOEXT2G,renewal,50,,2,15,105.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT3B 2025-02-10  9_40 PM_Stats.xlsx,7.0,NOEXT3B,renewal,50,,2,15,7.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT3G 2025-02-10 10_13 PM_Stats.xlsx,5.0,NOEXT3G,renewal,50,,2,15,5.0
研究2/orginal data/50kHz USVs/5renewal/NO EXT3R 2025-02-10 10_07 PM_Stats.xlsx,5.0,NOEXT3R,renewal,50,,2,15,5.0
研究2/orginal data/50kHz USVs/6extinction2/EXT1B 2025-02-20  4_37 PM_Stats.xlsx,98.0,EXT1B,extinction2,50,,2,15,98.0
研究2/orginal data/50kHz USVs/6extinction2/EXT1G 2025-02-20  4_28 PM_Stats.xlsx,14.0,EXT1G,extinction2,50,,2,15,14.0
研究2/orginal data/50kHz USVs/6extinction2/EXT1R 2025-02-20  4_16 PM_Stats.xlsx,22.0,EXT1R,extinction2,50,,2,15,22.0
研究2/orginal data/50kHz USVs/6extinction2/EXT2B 2025-02-06  6_59 PM_Stats.xlsx,16.0,EXT2B,extinction2,50,,2,15,16.0
研究2/orginal data/50kHz USVs/6extinction2/EXT2G 2025-02-06  7_08 PM_Stats.xlsx,45.0,EXT2G,extinction2,50,,2,15,45.0
研究2/orginal data/50kHz USVs/6extinction2/EXT2R 2025-02-06  7_24 PM_Stats.xlsx,22.0,EXT2R,extinction2,50,,2,15,22.0
研究2/orginal data/50kHz USVs/6extinction2/EXT3B 2025-02-06  7_31 PM_Stats.xlsx,112.0,EXT3B,extinction2,50,,2,15,112.0
研究2/orginal data/50kHz USVs/6extinction2/EXT3G 2025-02-06  7_45 PM_Stats.xlsx,24.0,EXT3G,extinction2,50,,2,15,24.0
研究2/orginal data/50kHz USVs/6extinction2/EXT3R 2025-02-06  7_53 PM_Stats.xlsx,3.0,EXT3R,extinction2,50,,2,15,3.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT1B 2025-02-20  5_20 PM_Stats.xlsx,64.0,NOEXT1B,extinction2,50,,2,15,64.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT1G 2025-02-20  5_09 PM_Stats.xlsx,34.0,NOEXT1G,extinction2,50,,2,15,34.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT2Bs 2025-02-06  7_58 PM_Stats.xlsx,504.0,NOEXT2B,extinction2,50,,2,15,504.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT2Gs 2025-02-06  8_19 PM_Stats.xlsx,2.0,NOEXT2G,extinction2,50,,2,15,2.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT3B 2025-02-06  8_24 PM_Stats.xlsx,70.0,NOEXT3B,extinction2,50,,2,15,70.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT3G 2025-02-06  8_32 PM_Stats.xlsx,1.0,NOEXT3G,extinction2,50,,2,15,1.0
研究2/orginal data/50kHz USVs/6extinction2/NO EXT3R 2025-02-06  8_36 PM_Stats.xlsx,5.0,NOEXT3R,extinction2,50,,2,15,5.0
研究2/orginal data/50kHz USVs/7extinction3/EXT1B 2025-02-20  8_56 PM_Stats.xlsx,165.0,EXT1B,extinction3,50,,2,15,165.0
研究2/orginal data/50kHz USVs/7extinction3/EXT1G 2025-02-20  8_45 PM_Stats.xlsx,15.0,EXT1G,extinction3,50,,2,15,15.0
研究2/orginal data/50kHz USVs/7extinction3/EXT1R 2025-02-20  5_42 PM_Stats.xlsx,12.0,EXT1R,extinction3,50,,2,15,12.0
研究2/orginal data/50kHz USVs/7extinction3/EXT2B 2025-02-11 11_26 AM_Stats.xlsx,1.0,EXT2B,extinction3,50,,2,15,1.0
研究2/orginal data/50kHz USVs/7extinction3/EXT2G 2025-02-10 11_53 PM_Stats.xlsx,26.0,EXT2G,extinction3,50,,2,15,26.0
研究2/orginal data/50kHz USVs/7extinction3/EXT2R 2025-02-11 12_08 PM_Stats.xlsx,12.0,EXT2R,extinction3,50,,2,15,12.0
研究2/orginal data/50kHz USVs/7extinction3/EXT3B 2025-02-11 11_52 AM_Stats.xlsx,94.0,EXT3B,extinction3,50,,2,15,94.0
研究2/orginal data/50kHz USVs/7extinction3/EXT3G 2025-02-11 11_41 AM_Stats.xlsx,41.0,EXT3G,extinction3,50,,2,15,41.0
研究2/orginal data/50kHz USVs/7extinction3/EXT3R 2025-02-11 11_32 AM_Stats.xlsx,160.0,EXT3R,extinction3,50,,2,15,160.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT1B 2025-02-20 11_30 PM_Stats.xlsx,31.0,NOEXT1B,extinction3,50,,2,15,31.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT1G 2025-02-20 11_17 PM_Stats.xlsx,164.0,NOEXT1G,extinction3,50,,2,15,164.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT1R 2025-02-20 10_17 PM_Stats.xlsx,42.0,NOEXT1R,extinction3,50,,2,15,42.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT2B 2025-02-11 12_25 PM_Stats.xlsx,30.0,NOEXT2B,extinction3,50,,2,15,30.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT2G 2025-02-11 12_15 PM_Stats.xlsx,9.0,NOEXT2G,extinction3,50,,2,15,9.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT3B 2025-02-11 12_52 PM_Stats.xlsx,100.0,NOEXT3B,extinction3,50,,2,15,100.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT3G 2025-02-11 12_45 PM_Stats.xlsx,29.0,NOEXT3G,extinction3,50,,2,15,29.0
研究2/orginal data/50kHz USVs/7extinction3/NO EXT3R 2025-02-11 12_40 PM_Stats.xlsx,12.0,NOEXT3R,extinction3,50,,2,15,12.0
研究2/orginal data/50kHz USVs/8extinction4/EXT1B 2025-02-21 12_05 AM_Stats.xlsx,73.0,EXT1B,extinction4,50,,2,15,73.0
研究2/orginal data/50kHz USVs/8extinction4/EXT1G 2025-02-20 11_56 PM_Stats.xlsx,16.0,EXT1G,extinction4,50,,2,15,16.0
研究2/orginal data/50kHz USVs/8extinction4/EXT1R 2025-02-20 11_43 PM_Stats.xlsx,130.0,EXT1R,extinction4,50,,2,15,130.0
研究2/orginal data/50kHz USVs/8extinction4/EXT2R 2025-02-11  1_09 PM_Stats.xlsx,10.0,EXT2R,extinction4,50,,2,15,10.0
研究2/orginal data/50kHz USVs/8extinction4/EXT3B 2025-02-11  1_51 PM_Stats.xlsx,50.0,EXT3B,extinction4,50,,2,15,50.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT1B 2025-02-21 12_40 AM_Stats.xlsx,51.0,NOEXT1B,extinction4,50,,2,15,51.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT1G 2025-02-21 12_25 AM_Stats.xlsx,389.0,NOEXT1G,extinction4,50,,2,15,389.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT1R 2025-02-21 12_17 AM_Stats.xlsx,18.0,NOEXT1R,extinction4,50,,2,15,18.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT2B 2025-02-11  2_07 PM_Stats.xlsx,31.0,NOEXT2B,extinction4,50,,2,15,31.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT3B 2025-02-11  2_35 PM_Stats.xlsx,58.0,NOEXT3B,extinction4,50,,2,15,58.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT3G 2025-02-11  2_28 PM_Stats.xlsx,2.0,NOEXT3G,extinction4,50,,2,15,2.0
研究2/orginal data/50kHz USVs/8extinction4/NO EXT3R 2025-02-11  2_17 PM_Stats.xlsx,6.0,NOEXT3R,extinction4,50,,2,15,6.0
研究2/orginal data/50kHz USVs/9LTM2/EXT1B 2025-02-17  8_33 PM_Stats.xlsx,145.0,EXT1B,LTM2,50,,2,15,145.0
研究2/orginal data/50kHz USVs/9LTM2/EXT1G 2025-02-17  8_29 PM_Stats.xlsx,7.0,EXT1G,LTM2,50,,2,15,7.0
研究2/orginal data/50kHz USVs/9LTM2/EXT1R 2025-02-17  8_23 PM_Stats.xlsx,51.0,EXT1R,LTM2,50,,2,15,51.0
研究2/orginal data/50kHz USVs/9LTM2/EXT2R 2025-02-11  5_49 PM_Stats.xlsx,32.0,EXT2R,LTM2,50,,2,15,32.0
研究2/orginal data/50kHz USVs/9LTM2/EXT3B 2025-02-11  6_15 PM_Stats.xlsx,31.0,EXT3B,LTM2,50,,2,15,31.0
研究2/orginal data/50kHz USVs/9LTM2/EXT3G 2025-02-11  6_02 PM_Stats.xlsx,14.0,EXT3G,LTM2,50,,2,15,14.0
研究2/orginal data/50kHz USVs/9LTM2/EXT3R 2025-02-11  5_56 PM_Stats.xlsx,58.0,EXT3R,LTM2,50,,2,15,58.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT1B 2025-02-17  8_52 PM_Stats.xlsx,866.0,NOEXT1B,LTM2,50,,2,15,866.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT1G 2025-02-17  8_46 PM_Stats.xlsx,76.0,NOEXT1G,LTM2,50,,2,15,76.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT1R 2025-02-17  8_42 PM_Stats.xlsx,35.0,NOEXT1R,LTM2,50,,2,15,35.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT2B 2025-02-11  6_30 PM_Stats.xlsx,281.0,NOEXT2B,LTM2,50,,2,15,281.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT2G 2025-02-11  6_22 PM_Stats.xlsx,114.0,NOEXT2G,LTM2,50,,2,15,114.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT3B 2025-02-11  6_39 PM_Stats.xlsx,51.0,NOEXT3B,LTM2,50,,2,15,51.0
研究2/orginal data/50kHz USVs/9LTM2/NO EXT3R 2025-02-11  6_36 PM_Stats.xlsx,98.0,NOEXT3R,LTM2,50,,2,15,98.0
