model_i_rank,model_j_rank,model_i_seed,model_j_seed,NMI
1,2,65,2,1.0
1,3,65,30,1.0
1,4,65,64,0.9980557655316467
1,5,65,54,0.9989869230970505
1,6,65,22,1.0
1,7,65,13,0.7154774061002274
1,8,65,52,0.5704233085206472
1,9,65,59,0.9941627266812217
1,10,65,32,0.5546030107960086
1,11,65,17,0.9983538109324118
1,12,65,28,0.6884063448458262
1,13,65,41,0.7409276344237788
1,14,65,63,0.43234075097729996
1,15,65,73,0.6626567253664726
1,16,65,44,0.5285412424790595
1,17,65,72,1.0
1,18,65,49,0.5661568783407565
1,19,65,15,0.5256472613582652
1,20,65,34,0.9983538109324118
2,3,2,30,1.0
2,4,2,64,0.9980557655316467
2,5,2,54,0.9989869230970505
2,6,2,22,1.0
2,7,2,13,0.7154774061002274
2,8,2,52,0.5704233085206472
2,9,2,59,0.9941627266812217
2,10,2,32,0.5546030107960086
2,11,2,17,0.9983538109324118
2,12,2,28,0.6884063448458262
2,13,2,41,0.7409276344237788
2,14,2,63,0.43234075097729996
2,15,2,73,0.6626567253664726
2,16,2,44,0.5285412424790595
2,17,2,72,1.0
2,18,2,49,0.5661568783407565
2,19,2,15,0.5256472613582652
2,20,2,34,0.9983538109324118
3,4,30,64,0.9980557655316467
3,5,30,54,0.9989869230970505
3,6,30,22,1.0
3,7,30,13,0.7154774061002274
3,8,30,52,0.5704233085206472
3,9,30,59,0.9941627266812217
3,10,30,32,0.5546030107960086
3,11,30,17,0.9983538109324118
3,12,30,28,0.6884063448458262
3,13,30,41,0.7409276344237788
3,14,30,63,0.43234075097729996
3,15,30,73,0.6626567253664726
3,16,30,44,0.5285412424790595
3,17,30,72,1.0
3,18,30,49,0.5661568783407565
3,19,30,15,0.5256472613582652
3,20,30,34,0.9983538109324118
4,5,64,54,0.9977636628144222
4,6,64,22,0.9980557655316467
4,7,64,13,0.7166661850037435
4,8,64,52,0.5716873590296923
4,9,64,59,0.995975699287957
4,10,64,32,0.5558217520671946
4,11,64,17,0.9997018927815293
4,12,64,28,0.6904015442592893
4,13,64,41,0.7426215255535552
4,14,64,63,0.43362574274189425
4,15,64,73,0.6649130069256245
4,16,64,44,0.5299382802132855
4,17,64,72,0.9980557655316467
4,18,64,49,0.5674089550892759
4,19,64,15,0.526713941533705
4,20,64,34,0.9997018927815293
5,6,54,22,0.9989869230970505
5,7,54,13,0.7150303520062025
5,8,54,52,0.5696920490310605
5,9,54,59,0.9937411214496733
5,10,54,32,0.5538979628952012
5,11,54,17,0.9975739376897318
5,12,54,28,0.6880992586750663
5,13,54,41,0.7399477103176941
5,14,54,63,0.4315973773233071
5,15,54,73,0.6622785884030069
5,16,54,44,0.5277330496125089
5,17,54,72,0.9989869230970505
5,18,54,49,0.5654325457231166
5,19,54,15,0.5250301814102522
5,20,54,34,0.9975739376897318
6,7,22,13,0.7154774061002274
6,8,22,52,0.5704233085206472
6,9,22,59,0.9941627266812217
6,10,22,32,0.5546030107960086
6,11,22,17,0.9983538109324118
6,12,22,28,0.6884063448458262
6,13,22,41,0.7409276344237788
6,14,22,63,0.43234075097729996
6,15,22,73,0.6626567253664726
6,16,22,44,0.5285412424790595
6,17,22,72,1.0
6,18,22,49,0.5661568783407565
6,19,22,15,0.5256472613582652
6,20,22,34,0.9983538109324118
7,8,13,52,0.4822821183353233
7,9,13,59,0.7143546967946932
7,10,13,32,0.46912766300040704
7,11,13,17,0.7169298815130964
7,12,13,28,0.5630851439939188
7,13,13,41,0.608035671732179
7,14,13,63,0.3643849139023837
7,15,13,73,0.5476591899982743
7,16,13,44,0.4474654286907629
7,17,13,72,0.7154774061002274
7,18,13,49,0.48973099789357755
7,19,13,15,0.44024348119618867
7,20,13,34,0.7169298815130964
8,9,52,59,0.5680357022181662
8,10,52,32,0.8677437694215726
8,11,52,17,0.5719669158423336
8,12,52,28,0.6114037155195282
8,13,52,41,0.68624097053064
8,14,52,63,0.6836249727917089
8,15,52,73,0.6221981385148395
8,16,52,44,0.6998197867103987
8,17,52,72,0.5704233085206472
8,18,52,49,0.8127845400333437
8,19,52,15,0.44493470311693295
8,20,52,34,0.5719669158423336
9,10,59,32,0.5523009819165913
9,11,59,17,0.9958076221258843
9,12,59,28,0.6919707779676033
9,13,59,41,0.7377281976265533
9,14,59,63,0.4299135469687444
9,15,59,73,0.6601722661600096
9,16,59,44,0.5259024300556282
9,17,59,72,0.9941627266812217
9,18,59,49,0.5637918873100436
9,19,59,15,0.5236324455294019
9,20,59,34,0.9958076221258843
10,11,32,17,0.5560912894277475
10,12,32,28,0.5864444828030274
10,13,32,41,0.6560799947966528
10,14,32,63,0.6935626588433116
10,15,32,73,0.5959373091181991
10,16,32,44,0.6478607870142811
10,17,32,72,0.5546030107960086
10,18,32,49,0.8330207070041462
10,19,32,15,0.4320197148984424
10,20,32,34,0.5560912894277475
11,12,17,28,0.6903242501094071
11,13,17,41,0.7429961289464349
11,14,17,63,0.4339099413767191
11,15,17,73,0.664595858481851
11,16,17,44,0.530247251926674
11,17,17,72,0.9983538109324118
11,18,17,49,0.567685864100418
11,19,17,15,0.5269498507606133
11,20,17,34,1.0
12,13,28,41,0.8662696389960376
12,14,28,63,0.4720275053002027
12,15,28,73,0.79179241905013
12,16,28,44,0.6310307867213131
12,17,28,72,0.6884063448458262
12,18,28,49,0.6047698354451934
12,19,28,15,0.5072170726922614
12,20,28,34,0.6903242501094071
13,14,41,63,0.5140369310068883
13,15,41,73,0.8741720177265667
13,16,41,44,0.6607012636053685
13,17,41,72,0.7409276344237787
13,18,41,49,0.6782208987581378
13,19,41,15,0.558439050478769
13,20,41,34,0.7429961289464346
14,15,63,73,0.5857207848917616
14,16,63,44,0.662721755028586
14,17,63,72,0.43234075097729996
14,18,63,49,0.8059811170960193
14,19,63,15,0.33086898252805746
14,20,63,34,0.43390994137671907
15,16,73,44,0.657626177437742
15,17,73,72,0.6626567253664728
15,18,73,49,0.618241930547633
15,19,73,15,0.5112096487257505
15,20,73,34,0.6645958584818511
16,17,44,72,0.5285412424790595
16,18,44,49,0.6863629916555437
16,19,44,15,0.4090924132827133
16,20,44,34,0.530247251926674
17,18,72,49,0.5661568783407565
17,19,72,15,0.5256472613582652
17,20,72,34,0.9983538109324118
18,19,49,15,0.4416221533389712
18,20,49,34,0.567685864100418
19,20,15,34,0.5269498507606133
