session_type,from_state,to_state,probability,count,from_label,to_label
LTM2,0,0,0.6454545454545455,213,USV50-active,USV50-active
LTM2,0,1,0.3151515151515151,104,USV50-active,Quiescent
LTM2,0,2,0.021212121212121213,7,USV50-active,Lever-press
LTM2,0,3,0.01818181818181818,6,USV50-active,Distress-22kHz
LTM2,1,0,0.030867482703565728,58,Quiescent,USV50-active
LTM2,1,1,0.9228312932410857,1734,Quiescent,Quiescent
LTM2,1,2,0.019691325172964343,37,Quiescent,Lever-press
LTM2,1,3,0.026609898882384245,50,Quiescent,Distress-22kHz
LTM2,2,0,0.9193548387096774,57,Lever-press,USV50-active
LTM2,2,1,0.06451612903225806,4,Lever-press,Quiescent
LTM2,2,2,0.0,0,Lever-press,Lever-press
LTM2,2,3,0.016129032258064516,1,Lever-press,Distress-22kHz
LTM2,3,0,0.013297872340425532,5,Distress-22kHz,USV50-active
LTM2,3,1,0.1356382978723404,51,Distress-22kHz,Quiescent
LTM2,3,2,0.0026595744680851063,1,Distress-22kHz,Lever-press
LTM2,3,3,0.848404255319149,319,Distress-22kHz,Distress-22kHz
contextual_test,0,0,0.8283261802575107,193,USV50-active,USV50-active
contextual_test,0,1,0.09012875536480687,21,USV50-active,Quiescent
contextual_test,0,2,0.0815450643776824,19,USV50-active,Lever-press
contextual_test,0,3,0.0,0,USV50-active,Distress-22kHz
contextual_test,1,0,0.0625,10,Quiescent,USV50-active
contextual_test,1,1,0.89375,143,Quiescent,Quiescent
contextual_test,1,2,0.04375,7,Quiescent,Lever-press
contextual_test,1,3,0.0,0,Quiescent,Distress-22kHz
contextual_test,2,0,0.9259259259259259,25,Lever-press,USV50-active
contextual_test,2,1,0.037037037037037035,1,Lever-press,Quiescent
contextual_test,2,2,0.037037037037037035,1,Lever-press,Lever-press
contextual_test,2,3,0.0,0,Lever-press,Distress-22kHz
contextual_test,3,0,0.0,0,Distress-22kHz,USV50-active
contextual_test,3,1,0.0,0,Distress-22kHz,Quiescent
contextual_test,3,2,0.0,0,Distress-22kHz,Lever-press
contextual_test,3,3,0.0,0,Distress-22kHz,Distress-22kHz
cue_test,0,0,0.4251968503937008,54,USV50-active,USV50-active
cue_test,0,1,0.4566929133858268,58,USV50-active,Quiescent
cue_test,0,2,0.11023622047244094,14,USV50-active,Lever-press
cue_test,0,3,0.007874015748031496,1,USV50-active,Distress-22kHz
cue_test,1,0,0.030915576694411414,26,Quiescent,USV50-active
cue_test,1,1,0.9131985731272295,768,Quiescent,Quiescent
cue_test,1,2,0.03329369797859691,28,Quiescent,Lever-press
cue_test,1,3,0.022592152199762187,19,Quiescent,Distress-22kHz
cue_test,2,0,0.8409090909090909,37,Lever-press,USV50-active
cue_test,2,1,0.09090909090909091,4,Lever-press,Quiescent
cue_test,2,2,0.0,0,Lever-press,Lever-press
cue_test,2,3,0.06818181818181818,3,Lever-press,Distress-22kHz
cue_test,3,0,0.0,0,Distress-22kHz,USV50-active
cue_test,3,1,0.11515151515151516,19,Distress-22kHz,Quiescent
cue_test,3,2,0.012121212121212121,2,Distress-22kHz,Lever-press
cue_test,3,3,0.8727272727272727,144,Distress-22kHz,Distress-22kHz
extinction1,0,0,0.17391304347826086,32,USV50-active,USV50-active
extinction1,0,1,0.8097826086956522,149,USV50-active,Quiescent
extinction1,0,2,0.010869565217391304,2,USV50-active,Lever-press
extinction1,0,3,0.005434782608695652,1,USV50-active,Distress-22kHz
extinction1,1,0,0.0033281825745869486,28,Quiescent,USV50-active
extinction1,1,1,0.9616070367288719,8090,Quiescent,Quiescent
extinction1,1,2,0.015927730892666112,134,Quiescent,Lever-press
extinction1,1,3,0.019137049803874956,161,Quiescent,Distress-22kHz
extinction1,2,0,0.8051948051948052,124,Lever-press,USV50-active
extinction1,2,1,0.18831168831168832,29,Lever-press,Quiescent
extinction1,2,2,0.006493506493506494,1,Lever-press,Lever-press
extinction1,2,3,0.0,0,Lever-press,Distress-22kHz
extinction1,3,0,0.0,0,Distress-22kHz,USV50-active
extinction1,3,1,0.21845318860244234,161,Distress-22kHz,Quiescent
extinction1,3,2,0.0013568521031207597,1,Distress-22kHz,Lever-press
extinction1,3,3,0.7801899592944369,575,Distress-22kHz,Distress-22kHz
extinction2,0,0,0.5904255319148937,333,USV50-active,USV50-active
extinction2,0,1,0.3829787234042553,216,USV50-active,Quiescent
extinction2,0,2,0.026595744680851064,15,USV50-active,Lever-press
extinction2,0,3,0.0,0,USV50-active,Distress-22kHz
extinction2,1,0,0.028884672148429266,137,Quiescent,USV50-active
extinction2,1,1,0.9434956778410288,4475,Quiescent,Quiescent
extinction2,1,2,0.02108370229812355,100,Quiescent,Lever-press
extinction2,1,3,0.006535947712418301,31,Quiescent,Distress-22kHz
extinction2,2,0,0.7205882352941176,98,Lever-press,USV50-active
extinction2,2,1,0.23529411764705882,32,Lever-press,Quiescent
extinction2,2,2,0.029411764705882353,4,Lever-press,Lever-press
extinction2,2,3,0.014705882352941176,2,Lever-press,Distress-22kHz
extinction2,3,0,0.011494252873563218,1,Distress-22kHz,USV50-active
extinction2,3,1,0.3333333333333333,29,Distress-22kHz,Quiescent
extinction2,3,2,0.034482758620689655,3,Distress-22kHz,Lever-press
extinction2,3,3,0.6206896551724138,54,Distress-22kHz,Distress-22kHz
extinction3,0,0,0.4810344827586207,279,USV50-active,USV50-active
extinction3,0,1,0.5017241379310344,291,USV50-active,Quiescent
extinction3,0,2,0.017241379310344827,10,USV50-active,Lever-press
extinction3,0,3,0.0,0,USV50-active,Distress-22kHz
extinction3,1,0,0.024803284296955184,145,Quiescent,USV50-active
extinction3,1,1,0.9409852890865549,5501,Quiescent,Quiescent
extinction3,1,2,0.02702702702702703,158,Quiescent,Lever-press
extinction3,1,3,0.007184399589462881,42,Quiescent,Distress-22kHz
extinction3,2,0,0.8342245989304813,156,Lever-press,USV50-active
extinction3,2,1,0.15508021390374332,29,Lever-press,Quiescent
extinction3,2,2,0.0053475935828877,1,Lever-press,Lever-press
extinction3,2,3,0.0053475935828877,1,Lever-press,Distress-22kHz
extinction3,3,0,0.0196078431372549,2,Distress-22kHz,USV50-active
extinction3,3,1,0.38235294117647056,39,Distress-22kHz,Quiescent
extinction3,3,2,0.0196078431372549,2,Distress-22kHz,Lever-press
extinction3,3,3,0.5784313725490197,59,Distress-22kHz,Distress-22kHz
extinction4,0,0,0.5,295,USV50-active,USV50-active
extinction4,0,1,0.44745762711864406,264,USV50-active,Quiescent
extinction4,0,2,0.04745762711864407,28,USV50-active,Lever-press
extinction4,0,3,0.005084745762711864,3,USV50-active,Distress-22kHz
extinction4,1,0,0.016934656175162505,99,Quiescent,USV50-active
extinction4,1,1,0.9447485460143688,5523,Quiescent,Quiescent
extinction4,1,2,0.030961341087923366,181,Quiescent,Lever-press
extinction4,1,3,0.00735545672254533,43,Quiescent,Distress-22kHz
extinction4,2,0,0.8571428571428571,198,Lever-press,USV50-active
extinction4,2,1,0.12554112554112554,29,Lever-press,Quiescent
extinction4,2,2,0.012987012987012988,3,Lever-press,Lever-press
extinction4,2,3,0.004329004329004329,1,Lever-press,Distress-22kHz
extinction4,3,0,0.020833333333333332,1,Distress-22kHz,USV50-active
extinction4,3,1,0.9166666666666666,44,Distress-22kHz,Quiescent
extinction4,3,2,0.041666666666666664,2,Distress-22kHz,Lever-press
extinction4,3,3,0.020833333333333332,1,Distress-22kHz,Distress-22kHz
generalization_5k,0,0,0.6993243243243243,207,USV50-active,USV50-active
generalization_5k,0,1,0.23986486486486486,71,USV50-active,Quiescent
generalization_5k,0,2,0.060810810810810814,18,USV50-active,Lever-press
generalization_5k,0,3,0.0,0,USV50-active,Distress-22kHz
generalization_5k,1,0,0.0390032502708559,36,Quiescent,USV50-active
generalization_5k,1,1,0.9176598049837487,847,Quiescent,Quiescent
generalization_5k,1,2,0.03683640303358613,34,Quiescent,Lever-press
generalization_5k,1,3,0.0065005417118093175,6,Quiescent,Distress-22kHz
generalization_5k,2,0,0.86,43,Lever-press,USV50-active
generalization_5k,2,1,0.12,6,Lever-press,Quiescent
generalization_5k,2,2,0.02,1,Lever-press,Lever-press
generalization_5k,2,3,0.0,0,Lever-press,Distress-22kHz
generalization_5k,3,0,0.0,0,Distress-22kHz,USV50-active
generalization_5k,3,1,0.3333333333333333,5,Distress-22kHz,Quiescent
generalization_5k,3,2,0.0,0,Distress-22kHz,Lever-press
generalization_5k,3,3,0.6666666666666666,10,Distress-22kHz,Distress-22kHz
generalization_7k,0,0,0.4594594594594595,85,USV50-active,USV50-active
generalization_7k,0,1,0.44324324324324327,82,USV50-active,Quiescent
generalization_7k,0,2,0.0972972972972973,18,USV50-active,Lever-press
generalization_7k,0,3,0.0,0,USV50-active,Distress-22kHz
generalization_7k,1,0,0.05337690631808279,49,Quiescent,USV50-active
generalization_7k,1,1,0.900871459694989,827,Quiescent,Quiescent
generalization_7k,1,2,0.02287581699346405,21,Quiescent,Lever-press
generalization_7k,1,3,0.02287581699346405,21,Quiescent,Distress-22kHz
generalization_7k,2,0,0.975,39,Lever-press,USV50-active
generalization_7k,2,1,0.0,0,Lever-press,Quiescent
generalization_7k,2,2,0.025,1,Lever-press,Lever-press
generalization_7k,2,3,0.0,0,Lever-press,Distress-22kHz
generalization_7k,3,0,0.0,0,Distress-22kHz,USV50-active
generalization_7k,3,1,0.1347517730496454,19,Distress-22kHz,Quiescent
generalization_7k,3,2,0.0,0,Distress-22kHz,Lever-press
generalization_7k,3,3,0.8652482269503546,122,Distress-22kHz,Distress-22kHz
learning,0,0,0.6775618374558304,767,USV50-active,USV50-active
learning,0,1,0.2835689045936396,321,USV50-active,Quiescent
learning,0,2,0.0176678445229682,20,USV50-active,Lever-press
learning,0,3,0.02120141342756184,24,USV50-active,Distress-22kHz
learning,1,0,0.05361131794489948,216,Quiescent,USV50-active
learning,1,1,0.8835939439066766,3560,Quiescent,Quiescent
learning,1,2,0.02482005460412013,100,Quiescent,Lever-press
learning,1,3,0.0379746835443038,153,Quiescent,Distress-22kHz
learning,2,0,0.8360655737704918,102,Lever-press,USV50-active
learning,2,1,0.1557377049180328,19,Lever-press,Quiescent
learning,2,2,0.0,0,Lever-press,Lever-press
learning,2,3,0.00819672131147541,1,Lever-press,Distress-22kHz
learning,3,0,0.016153846153846154,21,Distress-22kHz,USV50-active
learning,3,1,0.10615384615384615,138,Distress-22kHz,Quiescent
learning,3,2,0.0007692307692307692,1,Distress-22kHz,Lever-press
learning,3,3,0.8769230769230769,1140,Distress-22kHz,Distress-22kHz
renewal,0,0,0.6019900497512438,121,USV50-active,USV50-active
renewal,0,1,0.3482587064676617,70,USV50-active,Quiescent
renewal,0,2,0.03980099502487562,8,USV50-active,Lever-press
renewal,0,3,0.009950248756218905,2,USV50-active,Distress-22kHz
renewal,1,0,0.03225806451612903,44,Quiescent,USV50-active
renewal,1,1,0.906891495601173,1237,Quiescent,Quiescent
renewal,1,2,0.010997067448680353,15,Quiescent,Lever-press
renewal,1,3,0.04985337243401759,68,Quiescent,Distress-22kHz
renewal,2,0,0.8717948717948718,34,Lever-press,USV50-active
renewal,2,1,0.10256410256410256,4,Lever-press,Quiescent
renewal,2,2,0.0,0,Lever-press,Lever-press
renewal,2,3,0.02564102564102564,1,Lever-press,Distress-22kHz
renewal,3,0,0.007936507936507936,4,Distress-22kHz,USV50-active
renewal,3,1,0.12896825396825398,65,Distress-22kHz,Quiescent
renewal,3,2,0.0,0,Distress-22kHz,Lever-press
renewal,3,3,0.8630952380952381,435,Distress-22kHz,Distress-22kHz
retest_contextual,0,0,0.8936170212765957,252,USV50-active,USV50-active
retest_contextual,0,1,0.08156028368794327,23,USV50-active,Quiescent
retest_contextual,0,2,0.024822695035460994,7,USV50-active,Lever-press
retest_contextual,0,3,0.0,0,USV50-active,Distress-22kHz
retest_contextual,1,0,0.13008130081300814,16,Quiescent,USV50-active
retest_contextual,1,1,0.8536585365853658,105,Quiescent,Quiescent
retest_contextual,1,2,0.016260162601626018,2,Quiescent,Lever-press
retest_contextual,1,3,0.0,0,Quiescent,Distress-22kHz
retest_contextual,2,0,1.0,15,Lever-press,USV50-active
retest_contextual,2,1,0.0,0,Lever-press,Quiescent
retest_contextual,2,2,0.0,0,Lever-press,Lever-press
retest_contextual,2,3,0.0,0,Lever-press,Distress-22kHz
retest_contextual,3,0,0.0,0,Distress-22kHz,USV50-active
retest_contextual,3,1,0.0,0,Distress-22kHz,Quiescent
retest_contextual,3,2,0.0,0,Distress-22kHz,Lever-press
retest_contextual,3,3,0.0,0,Distress-22kHz,Distress-22kHz
retest_cue,0,0,0.6902654867256637,234,USV50-active,USV50-active
retest_cue,0,1,0.25073746312684364,85,USV50-active,Quiescent
retest_cue,0,2,0.05604719764011799,19,USV50-active,Lever-press
retest_cue,0,3,0.0029498525073746312,1,USV50-active,Distress-22kHz
retest_cue,1,0,0.06941176470588235,59,Quiescent,USV50-active
retest_cue,1,1,0.8952941176470588,761,Quiescent,Quiescent
retest_cue,1,2,0.021176470588235293,18,Quiescent,Lever-press
retest_cue,1,3,0.01411764705882353,12,Quiescent,Distress-22kHz
retest_cue,2,0,0.9545454545454546,42,Lever-press,USV50-active
retest_cue,2,1,0.045454545454545456,2,Lever-press,Quiescent
retest_cue,2,2,0.0,0,Lever-press,Lever-press
retest_cue,2,3,0.0,0,Lever-press,Distress-22kHz
retest_cue,3,0,0.0,0,Distress-22kHz,USV50-active
retest_cue,3,1,0.23529411764705882,12,Distress-22kHz,Quiescent
retest_cue,3,2,0.0196078431372549,1,Distress-22kHz,Lever-press
retest_cue,3,3,0.7450980392156863,38,Distress-22kHz,Distress-22kHz
retrieval,0,0,0.08108108108108109,3,USV50-active,USV50-active
retrieval,0,1,0.8648648648648649,32,USV50-active,Quiescent
retrieval,0,2,0.0,0,USV50-active,Lever-press
retrieval,0,3,0.05405405405405406,2,USV50-active,Distress-22kHz
retrieval,1,0,0.014705882352941176,14,Quiescent,USV50-active
retrieval,1,1,0.9632352941176471,917,Quiescent,Quiescent
retrieval,1,2,0.007352941176470588,7,Quiescent,Lever-press
retrieval,1,3,0.014705882352941176,14,Quiescent,Distress-22kHz
retrieval,2,0,0.8333333333333334,20,Lever-press,USV50-active
retrieval,2,1,0.16666666666666666,4,Lever-press,Quiescent
retrieval,2,2,0.0,0,Lever-press,Lever-press
retrieval,2,3,0.0,0,Lever-press,Distress-22kHz
retrieval,3,0,0.008130081300813009,1,Distress-22kHz,USV50-active
retrieval,3,1,0.08943089430894309,11,Distress-22kHz,Quiescent
retrieval,3,2,0.008130081300813009,1,Distress-22kHz,Lever-press
retrieval,3,3,0.8943089430894309,110,Distress-22kHz,Distress-22kHz
stage_early,0,0,0.6654337592468057,1979,USV50-active,USV50-active
stage_early,0,1,0.2898453261600538,862,USV50-active,Quiescent
stage_early,0,2,0.04371217215870881,130,USV50-active,Lever-press
stage_early,0,3,0.0010087424344317419,3,USV50-active,Distress-22kHz
stage_early,1,0,0.042413793103448276,492,Quiescent,USV50-active
stage_early,1,1,0.9244827586206896,10724,Quiescent,Quiescent
stage_early,1,2,0.02146551724137931,249,Quiescent,Lever-press
stage_early,1,3,0.01163793103448276,135,Quiescent,Distress-22kHz
stage_early,2,0,0.8779527559055118,446,Lever-press,USV50-active
stage_early,2,1,0.10433070866141732,53,Lever-press,Quiescent
stage_early,2,2,0.00984251968503937,5,Lever-press,Lever-press
stage_early,2,3,0.007874015748031496,4,Lever-press,Distress-22kHz
stage_early,3,0,0.0034129692832764505,2,Distress-22kHz,USV50-active
stage_early,3,1,0.21843003412969283,128,Distress-22kHz,Quiescent
stage_early,3,2,0.011945392491467578,7,Distress-22kHz,Lever-press
stage_early,3,3,0.7662116040955631,449,Distress-22kHz,Distress-22kHz
stage_middle,0,0,0.5256064690026954,585,USV50-active,USV50-active
stage_middle,0,1,0.4393530997304582,489,USV50-active,Quiescent
stage_middle,0,2,0.027852650494159928,31,USV50-active,Lever-press
stage_middle,0,3,0.0071877807726864335,8,USV50-active,Distress-22kHz
stage_middle,1,0,0.01832013662474771,236,Quiescent,USV50-active
stage_middle,1,1,0.94045955596957,12115,Quiescent,Quiescent
stage_middle,1,2,0.02352119236143456,303,Quiescent,Lever-press
stage_middle,1,3,0.017699115044247787,228,Quiescent,Distress-22kHz
stage_middle,2,0,0.7861271676300579,272,Lever-press,USV50-active
stage_middle,2,1,0.18497109826589594,64,Lever-press,Quiescent
stage_middle,2,2,0.017341040462427744,6,Lever-press,Lever-press
stage_middle,2,3,0.011560693641618497,4,Lever-press,Distress-22kHz
stage_middle,3,0,0.004488330341113106,5,Distress-22kHz,USV50-active
stage_middle,3,1,0.1947935368043088,217,Distress-22kHz,Quiescent
stage_middle,3,2,0.004488330341113106,5,Distress-22kHz,Lever-press
stage_middle,3,3,0.796229802513465,887,Distress-22kHz,Distress-22kHz
stage_late,0,0,0.4973488865323436,469,USV50-active,USV50-active
stage_late,0,1,0.44644750795334043,421,USV50-active,Quiescent
stage_late,0,2,0.02545068928950159,24,USV50-active,Lever-press
stage_late,0,3,0.030752916224814422,29,USV50-active,Distress-22kHz
stage_late,1,0,0.016652858326429164,201,Quiescent,USV50-active
stage_late,1,1,0.9396023198011599,11341,Quiescent,Quiescent
stage_late,1,2,0.02311516155758078,279,Quiescent,Lever-press
stage_late,1,3,0.020629660314830156,249,Quiescent,Distress-22kHz
stage_late,2,0,0.8431372549019608,258,Lever-press,USV50-active
stage_late,2,1,0.1503267973856209,46,Lever-press,Quiescent
stage_late,2,2,0.0032679738562091504,1,Lever-press,Lever-press
stage_late,2,3,0.0032679738562091504,1,Lever-press,Distress-22kHz
stage_late,3,0,0.013520540821632865,26,Distress-22kHz,USV50-active
stage_late,3,1,0.12740509620384816,245,Distress-22kHz,Quiescent
stage_late,3,2,0.0010400416016640667,2,Distress-22kHz,Lever-press
stage_late,3,3,0.858034321372855,1650,Distress-22kHz,Distress-22kHz
