session_name,decile,state_label,mean_occupancy,sem_occupancy,n_subjects,spearman_rho,spearman_pval
LTM2,0,Fear/Distress,0.0,0.0,17,0.5835893219328621,0.07653771742823344
LTM2,0,Goal-Directed,0.07320261437908497,0.005478122422954318,17,-0.9300954818304988,9.596084056886826e-05
LTM2,0,Quiescent,0.5143790849673203,0.07285896226440605,17,0.23636363636363633,0.5108853175152003
LTM2,0,Social/Appetitive,0.41241830065359475,0.07144429167375321,17,-0.4787878787878787,0.16152292801745594
LTM2,1,Fear/Distress,0.0,0.0,17,0.5835893219328621,0.07653771742823344
LTM2,1,Goal-Directed,0.032679738562091505,0.015032027289516282,17,-0.9300954818304988,9.596084056886826e-05
LTM2,1,Quiescent,0.7446311858076564,0.06545756778329215,17,0.23636363636363633,0.5108853175152003
LTM2,1,Social/Appetitive,0.2226890756302521,0.06881457241317164,17,-0.4787878787878787,0.16152292801745594
LTM2,2,Fear/Distress,0.04575163398692811,0.0457516339869281,17,0.5835893219328621,0.07653771742823344
LTM2,2,Goal-Directed,0.036601307189542485,0.009611399457420093,17,-0.9300954818304988,9.596084056886826e-05
LTM2,2,Quiescent,0.8444444444444444,0.05343162239353151,17,0.23636363636363633,0.5108853175152003
LTM2,2,Social/Appetitive,0.07320261437908497,0.027974123448726556,17,-0.4787878787878787,0.16152292801745594
LTM2,3,Fear/Distress,0.1092436974789916,0.062797206628719,17,0.5835893219328621,0.07653771742823344
LTM2,3,Goal-Directed,0.01680672268907563,0.007574687553495776,17,-0.9300954818304988,9.596084056886826e-05
LTM2,3,Quiescent,0.8403361344537815,0.06473057607256762,17,0.23636363636363633,0.5108853175152003
LTM2,3,Social/Appetitive,0.03361344537815126,0.02618596122066977,17,-0.4787878787878787,0.16152292801745594
LTM2,4,Fear/Distress,0.26750700280112044,0.09170461517065019,17,0.5835893219328621,0.07653771742823344
LTM2,4,Goal-Directed,0.015873015873015872,0.007202263595024048,17,-0.9300954818304988,9.596084056886826e-05
LTM2,4,Quiescent,0.6993464052287582,0.08660618321657401,17,0.23636363636363633,0.5108853175152003
LTM2,4,Social/Appetitive,0.017273576097105506,0.010657405430216173,17,-0.4787878787878787,0.16152292801745594
LTM2,5,Fear/Distress,0.26666666666666666,0.10032626514091005,17,0.5835893219328621,0.07653771742823344
LTM2,5,Goal-Directed,0.0196078431372549,0.009505254622384959,17,-0.9300954818304988,9.596084056886826e-05
LTM2,5,Quiescent,0.7006535947712419,0.09535066281885894,17,0.23636363636363633,0.5108853175152003
LTM2,5,Social/Appetitive,0.0130718954248366,0.007576485698934397,17,-0.4787878787878787,0.16152292801745594
LTM2,6,Fear/Distress,0.20354808590102708,0.07939699748137233,17,0.5835893219328621,0.07653771742823344
LTM2,6,Goal-Directed,0.015873015873015872,0.009454501937945206,17,-0.9300954818304988,9.596084056886826e-05
LTM2,6,Quiescent,0.7623716153127917,0.07929055379395067,17,0.23636363636363633,0.5108853175152003
LTM2,6,Social/Appetitive,0.018207282913165267,0.010905050071706888,17,-0.4787878787878787,0.16152292801745594
LTM2,7,Fear/Distress,0.23137254901960785,0.09550650100358865,17,0.5835893219328621,0.07653771742823344
LTM2,7,Goal-Directed,0.011111111111111112,0.006025846050518227,17,-0.9300954818304988,9.596084056886826e-05
LTM2,7,Quiescent,0.7163398692810458,0.0928993061786268,17,0.23636363636363633,0.5108853175152003
LTM2,7,Social/Appetitive,0.041176470588235294,0.02770848720422414,17,-0.4787878787878787,0.16152292801745594
LTM2,8,Fear/Distress,0.1816059757236228,0.08563277009934696,17,0.5835893219328621,0.07653771742823344
LTM2,8,Goal-Directed,0.012605042016806721,0.006807500733621703,17,-0.9300954818304988,9.596084056886826e-05
LTM2,8,Quiescent,0.7801120448179272,0.08146090321358099,17,0.23636363636363633,0.5108853175152003
LTM2,8,Social/Appetitive,0.025676937441643323,0.012886126636186296,17,-0.4787878787878787,0.16152292801745594
LTM2,9,Fear/Distress,0.11204481792717086,0.056681608390509106,17,0.5835893219328621,0.07653771742823344
LTM2,9,Goal-Directed,0.004201680672268907,0.004201680672268908,17,-0.9300954818304988,9.596084056886826e-05
LTM2,9,Quiescent,0.8370681605975724,0.06504903263323117,17,0.23636363636363633,0.5108853175152003
LTM2,9,Social/Appetitive,0.04668534080298786,0.029491318610107158,17,-0.4787878787878787,0.16152292801745594
contextual_test,0,Fear/Distress,0.0,0.0,12,,
contextual_test,0,Goal-Directed,0.25,0.0,12,0.07926976633148354,0.8276828935177833
contextual_test,0,Quiescent,0.3333333333333333,0.08883363181483768,12,0.7963562622208846,0.005836997302932197
contextual_test,0,Social/Appetitive,0.4166666666666667,0.08883363181483768,12,-0.6687619998624351,0.034485188623283695
contextual_test,1,Fear/Distress,0.0,0.0,12,,
contextual_test,1,Goal-Directed,0.041666666666666664,0.041666666666666664,12,0.07926976633148354,0.8276828935177833
contextual_test,1,Quiescent,0.3125,0.11148532312698059,12,0.7963562622208846,0.005836997302932197
contextual_test,1,Social/Appetitive,0.6458333333333334,0.12484207195209845,12,-0.6687619998624351,0.034485188623283695
contextual_test,2,Fear/Distress,0.0,0.0,12,,
contextual_test,2,Goal-Directed,0.027777777777777776,0.02777777777777778,12,0.07926976633148354,0.8276828935177833
contextual_test,2,Quiescent,0.3333333333333333,0.12974982402692053,12,0.7963562622208846,0.005836997302932197
contextual_test,2,Social/Appetitive,0.6388888888888888,0.13888888888888887,12,-0.6687619998624351,0.034485188623283695
contextual_test,3,Fear/Distress,0.0,0.0,12,,
contextual_test,3,Goal-Directed,0.020833333333333332,0.020833333333333332,12,0.07926976633148354,0.8276828935177833
contextual_test,3,Quiescent,0.4583333333333333,0.12244871117609557,12,0.7963562622208846,0.005836997302932197
contextual_test,3,Social/Appetitive,0.5208333333333334,0.1285788187310127,12,-0.6687619998624351,0.034485188623283695
contextual_test,4,Fear/Distress,0.0,0.0,12,,
contextual_test,4,Goal-Directed,0.0,0.0,12,0.07926976633148354,0.8276828935177833
contextual_test,4,Quiescent,0.5833333333333334,0.13685377681655786,12,0.7963562622208846,0.005836997302932197
contextual_test,4,Social/Appetitive,0.4166666666666667,0.13685377681655786,12,-0.6687619998624351,0.034485188623283695
contextual_test,5,Fear/Distress,0.0,0.0,12,,
contextual_test,5,Goal-Directed,0.0,0.0,12,0.07926976633148354,0.8276828935177833
contextual_test,5,Quiescent,0.5,0.13413584249716495,12,0.7963562622208846,0.005836997302932197
contextual_test,5,Social/Appetitive,0.5,0.13413584249716495,12,-0.6687619998624351,0.034485188623283695
contextual_test,6,Fear/Distress,0.0,0.0,12,,
contextual_test,6,Goal-Directed,0.0625,0.03263956049169335,12,0.07926976633148354,0.8276828935177833
contextual_test,6,Quiescent,0.5625,0.10715412999860331,12,0.7963562622208846,0.005836997302932197
contextual_test,6,Social/Appetitive,0.375,0.11306675421666137,12,-0.6687619998624351,0.034485188623283695
contextual_test,7,Fear/Distress,0.0,0.0,12,,
contextual_test,7,Goal-Directed,0.1111111111111111,0.04737793696791343,12,0.07926976633148354,0.8276828935177833
contextual_test,7,Quiescent,0.6388888888888888,0.11205407945623128,12,0.7963562622208846,0.005836997302932197
contextual_test,7,Social/Appetitive,0.25,0.11695491087787284,12,-0.6687619998624351,0.034485188623283695
contextual_test,8,Fear/Distress,0.0,0.0,12,,
contextual_test,8,Goal-Directed,0.041666666666666664,0.028091660935968422,12,0.07926976633148354,0.8276828935177833
contextual_test,8,Quiescent,0.6041666666666666,0.10861705271923991,12,0.7963562622208846,0.005836997302932197
contextual_test,8,Social/Appetitive,0.3541666666666667,0.11701112569048097,12,-0.6687619998624351,0.034485188623283695
contextual_test,9,Fear/Distress,0.0,0.0,12,,
contextual_test,9,Goal-Directed,0.05555555555555555,0.03745554791462457,12,0.07926976633148354,0.8276828935177833
contextual_test,9,Quiescent,0.5277777777777778,0.13888888888888887,12,0.7963562622208846,0.005836997302932197
contextual_test,9,Social/Appetitive,0.4166666666666667,0.13685377681655786,12,-0.6687619998624351,0.034485188623283695
cue_test,0,Fear/Distress,0.0,0.0,11,0.779199761307608,0.007888892938635227
cue_test,0,Goal-Directed,0.09090909090909091,0.0,11,-0.2317116246612596,0.5194792999574562
cue_test,0,Quiescent,0.6611570247933884,0.08411907867768247,11,-0.22424242424242422,0.5334005612725947
cue_test,0,Social/Appetitive,0.2479338842975207,0.08411907867768247,11,-0.8924133096001623,0.0005138199647844678
cue_test,1,Fear/Distress,0.0,0.0,11,0.779199761307608,0.007888892938635227
cue_test,1,Goal-Directed,0.01652892561983471,0.016528925619834715,11,-0.2317116246612596,0.5194792999574562
cue_test,1,Quiescent,0.8099173553719009,0.09128397534865505,11,-0.22424242424242422,0.5334005612725947
cue_test,1,Social/Appetitive,0.17355371900826447,0.08793015588939097,11,-0.8924133096001623,0.0005138199647844678
cue_test,2,Fear/Distress,0.0,0.0,11,0.779199761307608,0.007888892938635227
cue_test,2,Goal-Directed,0.024793388429752063,0.012803250731264188,11,-0.2317116246612596,0.5194792999574562
cue_test,2,Quiescent,0.8429752066115703,0.06261387413182086,11,-0.22424242424242422,0.5334005612725947
cue_test,2,Social/Appetitive,0.1322314049586777,0.052529747378746126,11,-0.8924133096001623,0.0005138199647844678
cue_test,3,Fear/Distress,0.04132231404958678,0.033263821152889436,11,0.779199761307608,0.007888892938635227
cue_test,3,Goal-Directed,0.04132231404958678,0.01431446948404031,11,-0.2317116246612596,0.5194792999574562
cue_test,3,Quiescent,0.884297520661157,0.03893956690707354,11,-0.22424242424242422,0.5334005612725947
cue_test,3,Social/Appetitive,0.03305785123966942,0.018479900640494134,11,-0.8924133096001623,0.0005138199647844678
cue_test,4,Fear/Distress,0.23636363636363636,0.12230567315521557,11,0.779199761307608,0.007888892938635227
cue_test,4,Goal-Directed,0.03636363636363637,0.020327890704543543,11,-0.2317116246612596,0.5194792999574562
cue_test,4,Quiescent,0.6727272727272727,0.12067304368032812,11,-0.22424242424242422,0.5334005612725947
cue_test,4,Social/Appetitive,0.05454545454545454,0.045454545454545456,11,-0.8924133096001623,0.0005138199647844678
cue_test,5,Fear/Distress,0.19008264462809918,0.10577220995554483,11,0.779199761307608,0.007888892938635227
cue_test,5,Goal-Directed,0.04958677685950413,0.01431446948404031,11,-0.2317116246612596,0.5194792999574562
cue_test,5,Quiescent,0.7272727272727273,0.10544884567098566,11,-0.22424242424242422,0.5334005612725947
cue_test,5,Social/Appetitive,0.03305785123966942,0.03305785123966943,11,-0.8924133096001623,0.0005138199647844678
cue_test,6,Fear/Distress,0.12396694214876032,0.08862649003936866,11,0.779199761307608,0.007888892938635227
cue_test,6,Goal-Directed,0.03305785123966942,0.013829091347670672,11,-0.2317116246612596,0.5194792999574562
cue_test,6,Quiescent,0.8347107438016529,0.08476615804930965,11,-0.22424242424242422,0.5334005612725947
cue_test,6,Social/Appetitive,0.008264462809917356,0.008264462809917357,11,-0.8924133096001623,0.0005138199647844678
cue_test,7,Fear/Distress,0.3388429752066116,0.1435259064204457,11,0.779199761307608,0.007888892938635227
cue_test,7,Goal-Directed,0.01652892561983471,0.01108794038429648,11,-0.2317116246612596,0.5194792999574562
cue_test,7,Quiescent,0.6363636363636364,0.13814266517951676,11,-0.22424242424242422,0.5334005612725947
cue_test,7,Social/Appetitive,0.008264462809917356,0.008264462809917357,11,-0.8924133096001623,0.0005138199647844678
cue_test,8,Fear/Distress,0.2809917355371901,0.12588054720436212,11,0.779199761307608,0.007888892938635227
cue_test,8,Goal-Directed,0.04132231404958678,0.01431446948404031,11,-0.2317116246612596,0.5194792999574562
cue_test,8,Quiescent,0.6694214876033058,0.11901974232988226,11,-0.22424242424242422,0.5334005612725947
cue_test,8,Social/Appetitive,0.008264462809917356,0.008264462809917357,11,-0.8924133096001623,0.0005138199647844678
cue_test,9,Fear/Distress,0.18181818181818182,0.12196734422726124,11,0.779199761307608,0.007888892938635227
cue_test,9,Goal-Directed,0.018181818181818184,0.012196734422726126,11,-0.2317116246612596,0.5194792999574562
cue_test,9,Quiescent,0.7818181818181817,0.11818181818181818,11,-0.22424242424242422,0.5334005612725947
cue_test,9,Social/Appetitive,0.018181818181818184,0.012196734422726126,11,-0.8924133096001623,0.0005138199647844678
extinction1,0,Fear/Distress,0.01358695652173913,0.01358695652173913,16,-0.3939393939393939,0.25999776683488757
extinction1,0,Goal-Directed,0.02839673913043478,0.0034217676930407732,16,-0.7212121212121211,0.01857315508946023
extinction1,0,Quiescent,0.9281476449275362,0.01802418546488385,16,0.7575757575757575,0.011143446799694208
extinction1,0,Social/Appetitive,0.029868659420289857,0.012667650186555903,16,0.0,1.0
extinction1,1,Fear/Distress,0.16130514705882354,0.07485878173961626,16,-0.3939393939393939,0.25999776683488757
extinction1,1,Goal-Directed,0.01976102941176471,0.007223079656333692,16,-0.7212121212121211,0.01857315508946023
extinction1,1,Quiescent,0.814889705882353,0.0727311912361761,16,0.7575757575757575,0.011143446799694208
extinction1,1,Social/Appetitive,0.004044117647058824,0.002240335517177529,16,0.0,1.0
extinction1,2,Fear/Distress,0.1767001114827202,0.07961094413655116,16,-0.3939393939393939,0.25999776683488757
extinction1,2,Goal-Directed,0.016095317725752508,0.006019007667595814,16,-0.7212121212121211,0.01857315508946023
extinction1,2,Quiescent,0.8017697881828316,0.07691723454552733,16,0.7575757575757575,0.011143446799694208
extinction1,2,Social/Appetitive,0.005434782608695652,0.005434782608695652,16,0.0,1.0
extinction1,3,Fear/Distress,0.15625,0.07148714052256024,16,-0.3939393939393939,0.25999776683488757
extinction1,3,Goal-Directed,0.013878676470588235,0.004669684522481582,16,-0.7212121212121211,0.01857315508946023
extinction1,3,Quiescent,0.828952205882353,0.0694742986878216,16,0.7575757575757575,0.011143446799694208
extinction1,3,Social/Appetitive,0.0009191176470588235,0.0009191176470588235,16,0.0,1.0
extinction1,4,Fear/Distress,0.06759049773755656,0.04376581925375317,16,-0.3939393939393939,0.25999776683488757
extinction1,4,Goal-Directed,0.01812311463046757,0.007243146174988743,16,-0.7212121212121211,0.01857315508946023
extinction1,4,Quiescent,0.913367269984917,0.043260645119342835,16,0.7575757575757575,0.011143446799694208
extinction1,4,Social/Appetitive,0.0009191176470588235,0.0009191176470588235,16,0.0,1.0
extinction1,5,Fear/Distress,0.09399909420289855,0.04612559773884777,16,-0.3939393939393939,0.25999776683488757
extinction1,5,Goal-Directed,0.017527173913043478,0.005861459166020474,16,-0.7212121212121211,0.01857315508946023
extinction1,5,Quiescent,0.8866621376811594,0.04458811686749411,16,0.7575757575757575,0.011143446799694208
extinction1,5,Social/Appetitive,0.0018115942028985507,0.001237554440333285,16,0.0,1.0
extinction1,6,Fear/Distress,0.05514705882352941,0.031007565955458713,16,-0.3939393939393939,0.25999776683488757
extinction1,6,Goal-Directed,0.010845588235294117,0.0037800959745357353,16,-0.7212121212121211,0.01857315508946023
extinction1,6,Quiescent,0.9303308823529411,0.029799187031226707,16,0.7575757575757575,0.011143446799694208
extinction1,6,Social/Appetitive,0.003676470588235294,0.002511507540676372,16,0.0,1.0
extinction1,7,Fear/Distress,0.023690078037904124,0.014077866459113077,16,-0.3939393939393939,0.25999776683488757
extinction1,7,Goal-Directed,0.01386566332218506,0.005015657789922797,16,-0.7212121212121211,0.01857315508946023
extinction1,7,Quiescent,0.959726867335563,0.013703336291292988,16,0.7575757575757575,0.011143446799694208
extinction1,7,Social/Appetitive,0.002717391304347826,0.0019706725690918745,16,0.0,1.0
extinction1,8,Fear/Distress,0.04485294117647059,0.038692123873302564,16,-0.3939393939393939,0.25999776683488757
extinction1,8,Goal-Directed,0.017279411764705883,0.004769975601967786,16,-0.7212121212121211,0.01857315508946023
extinction1,8,Quiescent,0.930514705882353,0.03782169303778615,16,0.7575757575757575,0.011143446799694208
extinction1,8,Social/Appetitive,0.007352941176470588,0.005695563744422672,16,0.0,1.0
extinction1,9,Fear/Distress,0.026654411764705885,0.02080673402867502,16,-0.3939393939393939,0.25999776683488757
extinction1,9,Goal-Directed,0.009874622926093514,0.0038938272947666316,16,-0.7212121212121211,0.01857315508946023
extinction1,9,Quiescent,0.9575084841628959,0.021279960223839132,16,0.7575757575757575,0.011143446799694208
extinction1,9,Social/Appetitive,0.005962481146304675,0.0033494230044975467,16,0.0,1.0
extinction2,0,Fear/Distress,0.0035714285714285718,0.0035714285714285726,14,-0.5896923870743754,0.07277136120108077
extinction2,0,Goal-Directed,0.0375,0.007295753694994232,14,0.16363636363636364,0.6514773427962428
extinction2,0,Quiescent,0.7571428571428571,0.056295224276088754,14,0.32826899358723494,0.35441832701832515
extinction2,0,Social/Appetitive,0.2017857142857143,0.056480102357586,14,0.32218993815043423,0.3639270759675106
extinction2,1,Fear/Distress,0.09999999999999999,0.05440739687914536,14,-0.5896923870743754,0.07277136120108077
extinction2,1,Goal-Directed,0.0125,0.004345959346031972,14,0.16363636363636364,0.6514773427962428
extinction2,1,Quiescent,0.8339285714285715,0.06182921037735296,14,0.32826899358723494,0.35441832701832515
extinction2,1,Social/Appetitive,0.05357142857142857,0.038592790177559955,14,0.32218993815043423,0.3639270759675106
extinction2,2,Fear/Distress,0.031135531135531136,0.014766039832048628,14,-0.5896923870743754,0.07277136120108077
extinction2,2,Goal-Directed,0.01098901098901099,0.004428355493238014,14,0.16363636363636364,0.6514773427962428
extinction2,2,Quiescent,0.9047619047619048,0.02707041110053638,14,0.32826899358723494,0.35441832701832515
extinction2,2,Social/Appetitive,0.05311355311355311,0.025565440258025356,14,0.32218993815043423,0.3639270759675106
extinction2,3,Fear/Distress,0.0035714285714285718,0.0035714285714285726,14,-0.5896923870743754,0.07277136120108077
extinction2,3,Goal-Directed,0.019642857142857146,0.0065142339018568005,14,0.16363636363636364,0.6514773427962428
extinction2,3,Quiescent,0.9232142857142858,0.01986636081404243,14,0.32826899358723494,0.35441832701832515
extinction2,3,Social/Appetitive,0.05357142857142857,0.018318223162823798,14,0.32218993815043423,0.3639270759675106
extinction2,4,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,4,Goal-Directed,0.029304029304029304,0.010005793690935308,14,0.16363636363636364,0.6514773427962428
extinction2,4,Quiescent,0.9065934065934066,0.04288940175457232,14,0.32826899358723494,0.35441832701832515
extinction2,4,Social/Appetitive,0.06410256410256411,0.041705933336631494,14,0.32218993815043423,0.3639270759675106
extinction2,5,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,5,Goal-Directed,0.03035714285714286,0.01021021205172974,14,0.16363636363636364,0.6514773427962428
extinction2,5,Quiescent,0.9053571428571429,0.055481073611118835,14,0.32826899358723494,0.35441832701832515
extinction2,5,Social/Appetitive,0.0642857142857143,0.05495466948847138,14,0.32218993815043423,0.3639270759675106
extinction2,6,Fear/Distress,0.012499999999999999,0.012499999999999997,14,-0.5896923870743754,0.07277136120108077
extinction2,6,Goal-Directed,0.02142857142857143,0.006342525483854503,14,0.16363636363636364,0.6514773427962428
extinction2,6,Quiescent,0.8857142857142858,0.05679841243055199,14,0.32826899358723494,0.35441832701832515
extinction2,6,Social/Appetitive,0.08035714285714286,0.05796328955154109,14,0.32218993815043423,0.3639270759675106
extinction2,7,Fear/Distress,0.0,0.0,14,-0.5896923870743754,0.07277136120108077
extinction2,7,Goal-Directed,0.031135531135531136,0.009380216681722911,14,0.16363636363636364,0.6514773427962428
